security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,option_condition_name,sector_1,industry_1,security_open,security_high,security_low,security_close,trade_rank,trade_value_log10,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
AGI,Basic Materials,Mining - Gold,20__0,20,0.0,8. p75_trade_value,6840.000000000001,12299.999999999998,O:AGI250417C00030000,AGI,C,30.0,2025-04-17,227,0,309,0.48,1744401409001000000,200,9600.0,2025-04-11,Single Leg Auction Non ISO,Basic Materials,Mining - Gold,29.16,29.99,28.96,29.22,26,3.9822712330395684,4,1,1,0,0
AGI,Basic Materials,Mining - Gold,20__0,20,0.0,8. p75_trade_value,6840.000000000001,12299.999999999998,O:AGI250417C00030000,AGI,C,30.0,2025-04-17,227,0,309,0.47,1744401580992000000,200,9400.0,2025-04-11,Single Leg Auction Non ISO,Basic Materials,Mining - Gold,29.16,29.99,28.96,29.22,27,3.9731278535996988,4,1,1,0,0
AGI,Basic Materials,Mining - Gold,20__0,20,0.0,7. p90_trade_value,12425.0,14489.999999999998,O:AGI250516P00029000,AGI,P,29.0,2025-05-16,219,0,300,1.15,1744917786042000000,126,14489.999999999998,2025-04-17,Intermarket Sweep Order,Basic Materials,Mining - Gold,30.13,30.28,29.4263,29.58,11,4.161068385471174,2,1,1,1,0
AGI,Basic Materials,Mining - Gold,20__0,20,0.0,7. p90_trade_value,12425.0,14489.999999999998,O:AGI250516P00029000,AGI,P,29.0,2025-05-16,219,0,304,1.15,1744917786042000000,126,14489.999999999998,2025-04-17,Intermarket Sweep Order,Basic Materials,Mining - Gold,30.13,30.28,29.4263,29.58,9,4.161068385471174,2,1,1,1,0
AGI,Basic Materials,Mining - Gold,20__0,20,0.0,7. p90_trade_value,12425.0,14489.999999999998,O:AGI250516P00029000,AGI,P,29.0,2025-05-16,219,0,315,1.15,1744917786042000000,126,14489.999999999998,2025-04-17,Intermarket Sweep Order,Basic Materials,Mining - Gold,30.13,30.28,29.4263,29.58,8,4.161068385471174,1,1,1,1,0
AGI,Basic Materials,Mining - Gold,20__0,20,0.0,7. p90_trade_value,12425.0,14489.999999999998,O:AGI250516P00029000,AGI,P,29.0,2025-05-16,219,0,318,1.15,1744917786042000000,126,14489.999999999998,2025-04-17,Intermarket Sweep Order,Basic Materials,Mining - Gold,30.13,30.28,29.4263,29.58,10,4.161068385471174,2,1,1,1,0
AGI,Basic Materials,Mining - Gold,20__0,20,0.0,8. p75_trade_value,6840.000000000001,12299.999999999998,O:AGI250516C00035000,AGI,C,35.0,2025-05-16,231,0,301,0.35,1745244784467000000,200,7000.0,2025-04-21,Single Leg Floor Trade,Basic Materials,Mining - Gold,30.73,30.85,29.12,29.75,35,3.845098040014257,5,0,0,0,1
AGI,Basic Materials,Mining - Gold,20__0,20,0.0,6. p95_trade_value,16000.0,23500.0,O:AGI250516C00028000,AGI,C,28.0,2025-05-16,231,0,301,0.2,1746124991112000000,1000,20000.0,2025-05-01,Single Leg Floor Trade,Basic Materials,Mining - Gold,25.32,26.0,23.84,25.73,5,4.301029995663981,1,0,0,0,1
AGI,Basic Materials,Mining - Gold,20__0,20,0.0,8. p75_trade_value,6840.000000000001,12299.999999999998,O:AGI250516C00027000,AGI,C,27.0,2025-05-16,234,0,308,0.23,1746195393199000000,500,11500.0,2025-05-02,Multi Leg Cross,Basic Materials,Mining - Gold,26.02,26.36,24.66,24.72,20,4.060697840353612,3,1,0,0,0
AGI,Basic Materials,Mining - Gold,20__0,20,0.0,8. p75_trade_value,6840.000000000001,12299.999999999998,O:AGI250516C00028000,AGI,C,28.0,2025-05-16,209,0,302,0.4,1746634593881000000,200,8000.0,2025-05-07,Automatic Execution,Basic Materials,Mining - Gold,26.66,27.2,26.42,27.14,32,3.9030899869919438,4,0,0,0,1
AGI,Basic Materials,Mining - Gold,20__0,20,0.0,8. p75_trade_value,6840.000000000001,12299.999999999998,O:AGI250620C00028000,AGI,C,28.0,2025-06-20,209,0,313,0.4,1747926448037000000,173,6920.0,2025-05-22,Automatic Execution,Basic Materials,Mining - Gold,26.0,26.13,25.55,25.68,36,3.840106094456758,5,0,0,0,1
AGI,Basic Materials,Mining - Gold,20__0,20,0.0,8. p75_trade_value,6840.000000000001,12299.999999999998,O:AGI250620C00028000,AGI,C,28.0,2025-06-20,209,0,315,0.6,1749744702421000000,200,12000.0,2025-06-12,Automatic Execution,Basic Materials,Mining - Gold,27.64,27.97,27.4324,27.5,18,4.079181246047625,3,0,0,0,0
B,Basic Materials,Mining - Gold,20__0,20,0.0,1. p999999_trade_value,27500.0,27500.0,O:B240920P00037500,B,P,37.5,2024-09-20,235,0,301,0.55,1725460676125000000,500,27500.0,2024-09-04,Multi Leg floor trade,Basic Materials,Mining - Gold,38.15,38.965,37.91,38.44,1,4.439332693830263,1,1,0,0,0
B,Basic Materials,Mining - Gold,20__0,20,0.0,8. p75_trade_value,7074.000000000001,12000.0,O:B250606C00018000,B,C,18.0,2025-06-06,227,0,301,0.45,1747318090058000000,200,9000.0,2025-05-15,Single Leg Auction Non ISO,Basic Materials,Mining - Gold,17.82,17.98,17.65,17.95,19,3.9542425094393248,4,1,1,1,0
B,Basic Materials,Mining - Gold,20__0,20,0.0,8. p75_trade_value,7074.000000000001,12000.0,O:B250620C00019000,B,C,19.0,2025-06-20,232,0,312,0.63,1747855905261000000,140,8820.0,2025-05-21,Multi Leg auto-electronic trade,Basic Materials,Mining - Gold,18.76,18.98,18.7288,18.82,20,3.94546858513182,4,1,0,0,0
B,Basic Materials,Mining - Gold,20__0,20,0.0,7. p90_trade_value,13321.0,18600.0,O:B250620C00019000,B,C,19.0,2025-06-20,209,0,304,0.62,1747840821970000000,300,18600.0,2025-05-21,Automatic Execution,Basic Materials,Mining - Gold,18.76,18.98,18.7288,18.82,7,4.269512944217916,2,1,0,0,0
B,Basic Materials,Mining - Gold,20__0,20,0.0,6. p95_trade_value,19494.0,19800.0,O:B250620C00021000,B,C,21.0,2025-06-20,209,0,309,0.11,1747845391738000000,1800,19800.0,2025-05-21,Automatic Execution,Basic Materials,Mining - Gold,18.76,18.98,18.7288,18.82,3,4.296665190261531,1,1,0,0,0
B,Basic Materials,Mining - Gold,20__0,20,0.0,7. p90_trade_value,13321.0,18600.0,O:B250620C00021000,B,C,21.0,2025-06-20,227,0,323,0.11,1747845056791000000,1211,13321.0,2025-05-21,Single Leg Auction Non ISO,Basic Materials,Mining - Gold,18.76,18.98,18.7288,18.82,11,4.124536828301277,2,1,0,0,0
B,Basic Materials,Mining - Gold,20__0,20,0.0,5. p99_trade_value,26279.000000000004,26279.000000000004,O:B250620C00021000,B,C,21.0,2025-06-20,227,0,323,0.11,1747845056791000000,2389,26279.000000000004,2025-05-21,Single Leg Auction Non ISO,Basic Materials,Mining - Gold,18.76,18.98,18.7288,18.82,2,4.419608834908103,1,1,0,0,0
B,Basic Materials,Mining - Gold,20__0,20,0.0,8. p75_trade_value,7074.000000000001,12000.0,O:B250620P00018000,B,P,18.0,2025-06-20,209,0,318,0.35,1747938027210000000,258,9030.0,2025-05-22,Automatic Execution,Basic Materials,Mining - Gold,18.75,18.81,18.4135,18.67,18,3.9556877503135057,3,0,0,0,1
B,Basic Materials,Mining - Gold,20__0,20,0.0,8. p75_trade_value,7074.000000000001,12000.0,O:B250620C00020000,B,C,20.0,2025-06-20,209,0,319,0.28,1748011994989000000,364,10192.000000000002,2025-05-23,Automatic Execution,Basic Materials,Mining - Gold,18.99,19.1399,18.811,19.07,15,4.008259414991275,3,1,0,0,0
B,Basic Materials,Mining - Gold,20__0,20,0.0,8. p75_trade_value,7074.000000000001,12000.0,O:B250620C00020000,B,C,20.0,2025-06-20,227,0,309,0.25,1748355330542000000,300,7500.0,2025-05-27,Single Leg Auction Non ISO,Basic Materials,Mining - Gold,18.64,19.05,18.58,18.9,24,3.8750612633917,4,1,0,0,0
B,Basic Materials,Mining - Gold,20__0,20,0.0,6. p95_trade_value,19494.0,19800.0,O:B250620P00019000,B,P,19.0,2025-06-20,209,0,307,0.18,1748875281373000000,1083,19494.0,2025-06-02,Automatic Execution,Basic Materials,Mining - Gold,19.44,20.35,19.43,20.32,6,4.289900961728627,1,0,0,0,1
B,Basic Materials,Mining - Gold,20__0,20,0.0,8. p75_trade_value,7074.000000000001,12000.0,O:B250627C00021000,B,C,21.0,2025-06-27,209,0,303,0.41,1748887146187000000,250,10250.0,2025-06-02,Automatic Execution,Basic Materials,Mining - Gold,19.44,20.35,19.43,20.32,14,4.010723865391773,3,1,0,0,0
B,Basic Materials,Mining - Gold,20__0,20,0.0,8. p75_trade_value,7074.000000000001,12000.0,O:B250627C00021000,B,C,21.0,2025-06-27,209,0,313,0.35,1748873567568000000,269,9415.0,2025-06-02,Automatic Execution,Basic Materials,Mining - Gold,19.44,20.35,19.43,20.32,17,3.9738203243526837,3,1,0,0,0
B,Basic Materials,Mining - Gold,20__0,20,0.0,8. p75_trade_value,7074.000000000001,12000.0,O:B250627C00021000,B,C,21.0,2025-06-27,209,0,303,0.43,1748882372004000000,250,10750.0,2025-06-02,Automatic Execution,Basic Materials,Mining - Gold,19.44,20.35,19.43,20.32,13,4.031408464251625,3,1,0,0,0
B,Basic Materials,Mining - Gold,20__0,20,0.0,8. p75_trade_value,7074.000000000001,12000.0,O:B250620C00021000,B,C,21.0,2025-06-20,209,0,322,0.27,1748976279351000000,374,10098.0,2025-06-03,Automatic Execution,Basic Materials,Mining - Gold,20.08,20.19,19.88,20.09,16,4.004235366359468,3,1,0,0,0
B,Basic Materials,Mining - Gold,20__0,20,0.0,8. p75_trade_value,7074.000000000001,12000.0,O:B250620C00021000,B,C,21.0,2025-06-20,209,0,316,0.27,1748958140526000000,293,7911.0,2025-06-03,Automatic Execution,Basic Materials,Mining - Gold,20.08,20.19,19.88,20.09,23,3.898231384513097,4,1,0,0,0
