data_date,option_ticker,size,price,trade_value,trade_value_bracket,sip_timestamp,conditions,correction,exchange,id,name,type,data_types,security,expiration,option_type,strike_price,volume,transactions,anomaly_category,anomaly_volume,day_rank
2025-02-24,O:CRBG250718C00033000,366,2.5,91500.0,<$0.1M,1740418093098000000,209,0,309,209,Automatic Execution,sale_condition,trade,CRBG,2025-07-18,C,33.0,738,6,21,61.078,73
2025-02-24,O:CRBG250718C00033000,264,2.5,66000.0,<$0.1M,1740418093098000000,209,0,319,209,Automatic Execution,sale_condition,trade,CRBG,2025-07-18,C,33.0,738,6,21,61.078,73
2025-01-29,O:CRBG250718C00034000,11,2.8,3079.9999999999995,<$0.1M,1738167528666000000,209,0,313,209,Automatic Execution,sale_condition,trade,CRBG,2025-07-18,C,34.0,110,27,21,61.078,90
2025-01-29,O:CRBG250718C00034000,16,2.75,4400.0,<$0.1M,1738167147764000000,209,0,316,209,Automatic Execution,sale_condition,trade,CRBG,2025-07-18,C,34.0,110,27,21,61.078,90
2025-01-29,O:CRBG250718C00034000,12,2.8,3359.9999999999995,<$0.1M,1738167528667000000,209,0,301,209,Automatic Execution,sale_condition,trade,CRBG,2025-07-18,C,34.0,110,27,21,61.078,90
2025-01-29,O:CRBG250718C00034000,26,2.8,7280.0,<$0.1M,1738167528667000000,209,0,302,209,Automatic Execution,sale_condition,trade,CRBG,2025-07-18,C,34.0,110,27,21,61.078,90
2025-05-12,O:CRBG250718C00035000,29,0.8,2320.0000000000005,<$0.1M,1747077107837000000,209,0,316,209,Automatic Execution,sale_condition,trade,CRBG,2025-07-18,C,35.0,235,20,21,61.078,19
2025-05-12,O:CRBG250718C00035000,38,0.8,3040.0,<$0.1M,1747075214137000000,209,0,316,209,Automatic Execution,sale_condition,trade,CRBG,2025-07-18,C,35.0,235,20,21,61.078,19
2025-05-12,O:CRBG250718C00035000,103,0.8,8240.0,<$0.1M,1747075214137000000,209,0,316,209,Automatic Execution,sale_condition,trade,CRBG,2025-07-18,C,35.0,235,20,21,61.078,19
2025-05-12,O:CRBG250718C00035000,28,0.89,2492.0,<$0.1M,1747057650824000000,232,0,304,232,Multi Leg auto-electronic trade,sale_condition,trade,CRBG,2025-07-18,C,35.0,235,20,21,61.078,19
