security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,option_condition_name,sector_1,industry_1,security_open,security_high,security_low,security_close,trade_rank,trade_value_log10,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
MSTR,Computer and Technology,Computer - Software,60__0,60,0.0,3. p9999_trade_value,5720000.0,22849420.0,O:MSTR241101C00260000,MSTR,C,260.0,2024-11-01,233,0,304,7.51,1729866147850000000,16745,12575495.0,2024-10-25,Multi Leg Auction,Computer and Technology,Computer - Software,236.385,245.5657,227.75,234.34,23,7.099525088880054,1,1,0,0,0
MSTR,Computer and Technology,Computer - Software,60__0,60,0.0,3. p9999_trade_value,5720000.0,22849420.0,O:MSTR241115C00290000,MSTR,C,290.0,2024-11-15,233,0,304,7.34,1731082065291000000,31130,22849420.0,2024-11-08,Multi Leg Auction,Computer and Technology,Computer - Software,275.575,279.3799,262.6,270.42,11,7.358875180598586,1,1,1,1,0
MSTR,Computer and Technology,Computer - Software,60__0,60,0.0,3. p9999_trade_value,5720000.0,22849420.0,O:MSTR241115C00325000,MSTR,C,325.0,2024-11-15,233,0,304,1.95,1731082065291000000,31130,6070350.0,2024-11-08,Multi Leg Auction,Computer and Technology,Computer - Software,275.575,279.3799,262.6,270.42,84,6.783213732045033,1,1,1,1,0
MSTR,Computer and Technology,Computer - Software,60__0,60,0.0,3. p9999_trade_value,5720000.0,22849420.0,O:MSTR241115C00390000,MSTR,C,390.0,2024-11-15,235,0,301,2.88,1731339673421000000,28900,8323200.0,2024-11-11,Multi Leg floor trade,Computer and Technology,Computer - Software,297.0,351.73,293.3,340.0,55,6.920290330515779,1,0,0,0,1
MSTR,Computer and Technology,Computer - Software,60__0,60,0.0,2. p99999_trade_value,22997600.0,47028254.0,O:MSTR241115C00390000,MSTR,C,390.0,2024-11-15,233,0,323,16.31,1731509137716000000,28834,47028254.0,2024-11-13,Multi Leg Auction,Computer and Technology,Computer - Software,366.98,383.4,321.7,328.38,2,7.672358855160254,1,0,0,0,1
MSTR,Computer and Technology,Computer - Software,60__0,60,0.0,1. p999999_trade_value,63232962.0,63232962.0,O:MSTR241122C00430000,MSTR,C,430.0,2024-11-22,233,0,323,21.93,1731509137716000000,28834,63232962.0,2024-11-13,Multi Leg Auction,Computer and Technology,Computer - Software,366.98,383.4,321.7,328.38,1,7.800943525797501,1,1,1,0,0
MSTR,Computer and Technology,Computer - Software,60__0,60,0.0,2. p99999_trade_value,22997600.0,47028254.0,O:MSTR241122C00530000,MSTR,C,530.0,2024-11-22,233,0,323,10.82,1731509137716000000,28834,31198388.0,2024-11-13,Multi Leg Auction,Computer and Technology,Computer - Software,366.98,383.4,321.7,328.38,4,7.494132154890528,1,1,0,0,0
MSTR,Computer and Technology,Computer - Software,60__0,60,0.0,3. p9999_trade_value,5720000.0,22849420.0,O:MSTR241122C00530000,MSTR,C,530.0,2024-11-22,235,0,301,17.0,1732118948747000000,10000,17000000.0,2024-11-20,Multi Leg floor trade,Computer and Technology,Computer - Software,463.4,504.83,457.3024,473.83,14,7.230448921378274,1,1,0,0,0
MSTR,Computer and Technology,Computer - Software,60__0,60,0.0,3. p9999_trade_value,5720000.0,22849420.0,O:MSTR241122C00530000,MSTR,C,530.0,2024-11-22,233,0,304,19.42,1732118807205000000,10000,19420000.000000004,2024-11-20,Multi Leg Auction,Computer and Technology,Computer - Software,463.4,504.83,457.3024,473.83,13,7.288249225571986,1,1,0,0,0
MSTR,Computer and Technology,Computer - Software,60__0,60,0.0,3. p9999_trade_value,5720000.0,22849420.0,O:MSTR241122C00530000,MSTR,C,530.0,2024-11-22,233,0,304,15.83,1732130705819000000,6250,9893750.0,2024-11-20,Multi Leg Auction,Computer and Technology,Computer - Software,463.4,504.83,457.3024,473.83,39,6.995360932206431,1,1,0,0,0
