security,sector,industry,num_trades,trade_volume_bin,trade_volume_bin_rank,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value,cluster,final_cluster
CDZI,Consumer Staples,Agriculture - Operations,4,5,3,7124.1,7424.82,7492.48,7499.25,7499.92,7499.99,0.0,5__0
CE,Basic Materials,Chemical - Specialty,338,25,2,33988.5,98774.85,1784329.7,2358142.97,2415524.3,2421262.43,2.0,25__2
CECO,Industrial Products,Pollution Control,1,0,3,3950.0,3950.0,3950.0,3950.0,3950.0,3950.0,2.0,0__2
CEG,Oils-Energy,Alternative Energy - Other,19624,45,1,29070.0,86518.84,528996.86,1298920.74,2628527.59,2853815.96,0.0,45__0
CELC,Medical,Medical - Biomedical and Genetics,1,0,3,14500.0,14500.0,14500.0,14500.0,14500.0,14500.0,0.0,0__0
CELH,Consumer Staples,Food - Miscellaneous,11311,40,2,22044.5,59308.8,271541.82,542707.6,860188.8,896018.88,3.0,40__3
CENT,Consumer Discretionary,Consumer Products - Discretionary,1,0,3,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,0.0,0__0
CENX,Industrial Products,Metal Products - Procurement and Fabrication,100,20,2,35269.9,128849.9,137750.99,138641.1,138730.11,138739.01,0.0,20__0
CEP,Unclassified,Unclassified,1073,30,2,29940.0,55759.2,86088.0,86544.62,86576.46,86579.65,2.0,30__2
CEPU,Oils-Energy,Alternative Energy - Other,2,5,3,5896.0,5979.2,5997.92,5999.79,5999.98,6000.0,0.0,5__0
CERS,Medical,Medical - Products,1,0,3,3020.0,3020.0,3020.0,3020.0,3020.0,3020.0,2.0,0__2
CERT,Medical,Medical - Biomedical and Genetics,9,10,3,9883.0,11020.6,11276.56,11302.16,11304.72,11304.97,0.0,10__0
CEVA,Computer and Technology,Electronics - Semiconductors,6,10,3,4837.5,4927.5,4947.75,4949.78,4949.98,4950.0,0.0,10__0
CF,Basic Materials,Fertilizers,495,25,2,29020.0,78084.2,296906.4,423350.64,435995.06,437259.51,0.0,25__0
CFG,Finance,Banks - Northeast,168,20,2,38982.0,105876.97,116133.28,116157.33,116159.73,116159.97,0.0,20__0
CFLT,Computer and Technology,Internet - Software,1363,30,2,27000.0,141649.96,398868.0,749606.0,794960.6,799496.06,0.0,30__0
CFR,Finance,Banks - Southwest,13,10,3,9558.0,11631.6,12098.16,12144.82,12149.48,12149.95,0.0,10__0
CG,Finance,Financial - Investment Management,301,25,2,20205.0,43890.0,384310.0,428401.0,432810.1,433251.01,0.0,25__0
CGC,Medical,Medical - Products,249,25,2,10440.0,25913.24,34016.0,35801.6,35980.16,35998.02,0.0,25__0
CGEM,Medical,Medical - Biomedical and Genetics,4,5,3,127200.0,143040.0,146604.0,146960.4,146996.04,146999.6,2.0,5__2
CGEN,Medical,Medical - Biomedical and Genetics,10,10,3,10238.7,12007.74,12405.77,12445.58,12449.56,12449.96,0.0,10__0
CGNT,Computer and Technology,Internet - Software,16,10,3,37912.5,39982.5,40448.25,40494.83,40499.48,40499.95,0.0,10__0
CGNX,Computer and Technology,Electronics - Testing Equipment,9,10,3,8388.0,9165.6,9340.56,9358.06,9359.81,9359.98,0.0,10__0
CGON,Medical,Medical - Biomedical and Genetics,77,20,2,28652.0,265200.0,422520.0,438252.0,439825.2,439982.52,3.0,20__3
CHCT,Finance,REIT and Equity Trust - Other,7,10,3,8700.0,8940.0,8994.0,8999.4,8999.94,8999.99,0.0,10__0
CHD,Consumer Staples,Consumer Products - Staples,183,25,2,34880.0,164206.9,255609.11,264600.91,265500.09,265590.01,0.0,25__0
CHDN,Consumer Discretionary,Gaming,32,15,3,145575.0,206700.0,215070.0,215907.0,215990.7,215999.07,0.0,15__0
CHE,Medical,Medical - Outpatient and Home Healthcare,57,20,2,13805.6,28918.36,38226.74,39157.57,39250.66,39259.97,0.0,20__0
CHEF,Consumer Staples,Food - Miscellaneous,19,15,3,40633.5,54194.7,57245.97,57551.1,57581.61,57584.66,0.0,15__0
CHGG,Computer and Technology,Internet - Software,26,15,3,14875.0,16267.5,16647.75,16685.77,16689.58,16689.96,0.0,15__0
CHH,Consumer Discretionary,Hotels and Motels,2,5,3,3328.15,3338.43,3340.74,3340.97,3341.0,3341.0,0.0,5__0
CHKP,Computer and Technology,Security,205,25,2,24744.0,62240.0,223880.04,256559.0,259826.9,260153.69,0.0,25__0
CHPT,Auto-Tires-Trucks,Automotive - Original Equipment,95,20,2,154500.0,401920.0,428992.0,431699.2,431969.92,431996.99,1.0,20__1
CHRD,Oils-Energy,Oil and Gas - Exploration and Production - United States,64,20,2,18375.0,65100.0,82110.0,83811.0,83981.1,83998.11,0.0,20__0
CHRS,Medical,Medical - Biomedical and Genetics,13,10,3,11904.0,14380.8,14938.08,14993.81,14999.38,14999.94,0.0,10__0
CHRW,Transportation,Transportation - Services,267,25,2,35418.0,197586.0,670720.0,809572.0,823457.2,824845.72,2.0,25__2
CHTR,Consumer Discretionary,Cable Television,1893,35,2,25290.0,62986.4,231543.36,413026.2,426052.62,427355.26,0.0,35__0
CHWY,Retail-Wholesale,Internet - Commerce,3665,35,2,27105.4,97815.52,326878.64,436828.13,457682.81,459768.28,0.0,35__0
CHX,Construction,Engineering - R and D Services,1,0,3,3375.0,3375.0,3375.0,3375.0,3375.0,3375.0,2.0,0__2
CI,Medical,Medical - HMOs,2487,35,2,26840.0,67632.6,359910.88,500112.0,518011.2,519801.12,0.0,35__0
CIA,Finance,Insurance - Life Insurance,1,0,3,3240.0,3240.0,3240.0,3240.0,3240.0,3240.0,2.0,0__2
CIEN,Computer and Technology,Communication - Components,1154,30,2,25126.0,98724.0,217439.42,373418.18,391464.82,393269.48,2.0,30__2
CIFR,Business Services,Technology Services,548,25,2,22246.0,111642.7,479275.0,565427.5,574042.75,574904.28,0.0,25__0
CIGI,Finance,Real Estate - Operations,1,0,3,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,2.0,0__2
CIM,Finance,REIT and Equity Trust,20,15,3,33050.0,33810.0,33981.0,33998.1,33999.81,33999.98,0.0,15__0
CINF,Finance,Insurance - Property and Casualty,41,15,3,38000.0,252574.0,266214.4,267578.44,267714.84,267728.48,0.0,15__0
CIVI,Oils-Energy,Oil and Gas - Exploration and Production - United States,166,20,2,46000.0,126360.0,262627.67,264944.57,265176.26,265199.43,3.0,20__3
CL,Consumer Staples,Consumer Products - Staples,691,30,2,17550.0,51489.5,536553.3,843594.33,874298.43,877368.84,2.0,30__2
CLB,Oils-Energy,Oil and Gas - Field Services,3,5,3,31716.0,34183.2,34738.32,34793.83,34799.38,34799.94,3.0,5__3
CLBK,Finance,Financial - Miscellaneous Services,1,0,3,24000.0,24000.0,24000.0,24000.0,24000.0,24000.0,1.0,0__1
CLBR,Unclassified,Unclassified,547,25,2,20826.5,42090.0,238590.0,280359.0,284535.9,284953.59,0.0,25__0
CLBT,Computer and Technology,Internet - Software,129,20,2,45598.2,77121.6,315933.44,346233.34,349263.33,349566.33,3.0,20__3
CLDX,Medical,Medical - Biomedical and Genetics,67,20,2,65298.0,164930.0,173543.0,174404.3,174490.43,174499.04,3.0,20__3
CLF,Basic Materials,Steel - Producers,1952,35,2,22674.7,59614.24,125874.79,238959.92,263295.99,265729.6,0.0,35__0
CLFD,Computer and Technology,Wireless Equipment,16,10,3,12860.0,19724.0,21268.4,21422.84,21438.28,21439.83,0.0,10__0
CLH,Business Services,Waste Removal Services,143,20,2,18312.0,69194.4,76633.2,77323.32,77392.33,77399.23,0.0,20__0
CLMT,Oils-Energy,Oil and Gas - Integrated - United States,713,30,2,40156.8,167085.84,440000.0,440000.0,440000.0,440000.0,0.0,30__0
CLOV,Medical,Medical Info Systems,319,25,2,12815.4,20241.9,36165.96,39400.6,39724.06,39756.41,0.0,25__0
CLPT,Medical,Medical - Instruments,21,15,3,29250.0,31450.0,31945.0,31994.5,31999.45,31999.95,0.0,15__0
CLS,Computer and Technology,Electronics - Manufacturing Services,5697,40,2,26874.0,99066.0,763344.82,1114394.4,1204939.44,1213993.94,0.0,40__0
CLSD,Medical,Medical - Biomedical and Genetics,11,10,3,7485.0,7497.0,7499.7,7499.97,7500.0,7500.0,0.0,10__0
CLSK,Finance,Financial - Miscellaneous Services,10405,40,2,20399.6,46583.68,142991.01,205115.82,315018.85,326485.88,3.0,40__3
CLW,Basic Materials,Paper and Related Products,108,20,2,72000.0,130939.2,139237.47,139698.75,139744.87,139749.49,0.0,20__0
CLX,Consumer Staples,Consumer Products - Staples,766,30,2,35105.0,145600.0,280875.0,298087.5,299808.75,299980.88,2.0,30__2
CM,Finance,Banks - Foreign,125,20,2,12069.0,19988.0,21046.82,21180.18,21193.52,21194.85,0.0,20__0
CMA,Finance,Banks - Major Regional,439,25,2,34068.0,116200.0,252480.0,268248.0,269824.8,269982.48,0.0,25__0
CMBT,Transportation,Transportation - Shipping,1,0,3,3250.0,3250.0,3250.0,3250.0,3250.0,3250.0,2.0,0__2
CMC,Basic Materials,Steel - Producers,46,15,3,75900.0,106587.0,111908.7,112440.87,112494.09,112499.41,0.0,15__0
CMCL,Basic Materials,Mining - Gold,3,5,3,5360.0,5392.0,5399.2,5399.92,5399.99,5400.0,0.0,5__0
CMCM,Computer and Technology,Internet - Software,2,5,3,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,0.0,5__0
CMCO,Industrial Products,Manufacturing - Material Handling,1,0,3,5360.0,5360.0,5360.0,5360.0,5360.0,5360.0,2.0,0__2
CMCSA,Consumer Discretionary,Cable Television,1043,30,2,34634.6,96480.0,1110138.0,1623732.0,1674373.2,1679437.32,1.0,30__1
CMCT,Finance,REIT and Equity Trust - Other,2,5,3,6910.0,7006.0,7027.6,7029.76,7029.98,7030.0,0.0,5__0
CME,Finance,Securities and Exchanges,885,30,2,25562.0,40641.68,333000.0,333000.0,333000.0,333000.0,2.0,30__2
CMG,Retail-Wholesale,Retail - Restaurants,6565,40,2,24169.6,85426.24,464052.24,707229.46,822818.75,834377.67,0.0,40__0
CMI,Auto-Tires-Trucks,Automotive - Internal Combustion Engines,286,25,2,35660.0,108400.0,309237.52,372473.75,378797.38,379429.74,0.0,25__0
CMP,Basic Materials,Chemical - Diversified ,21,15,3,38120.0,125992.0,145763.2,147740.32,147938.03,147957.8,0.0,15__0
CMPO,Business Services,Financial Transaction Services,42,15,3,14342.9,291838.32,463883.83,481088.38,482808.84,482980.88,1.0,15__1
CMPR,Consumer Discretionary,Consumer Services - Miscellaneous,20,15,3,31299.8,31539.96,31594.0,31599.4,31599.94,31599.99,0.0,15__0
CMPS,Medical,Medical Services,8,10,3,8799.75,10651.95,11068.7,11110.37,11114.54,11114.95,0.0,10__0
CMPX,Medical,Medical - Biomedical and Genetics,68,20,2,69340.5,191155.3,221251.03,224260.6,224561.56,224591.66,3.0,20__3
CMS,Utilities,Utility - Electric Power,47,15,3,25910.5,84744.02,106484.4,108658.44,108875.84,108897.58,0.0,15__0
CMTL,Computer and Technology,Wireless Equipment,27,15,3,13284.0,18310.0,19831.0,19983.1,19998.31,19999.83,0.0,15__0
CNA,Finance,Insurance - Property and Casualty,2,5,3,34850.0,35770.0,35977.0,35997.7,35999.77,35999.98,3.0,5__3
CNC,Medical,Medical - HMOs,1279,30,2,33390.5,141739.6,291249.0,360793.26,369799.33,370699.93,2.0,30__2
CNDT,Business Services,Outsourcing,7,10,3,12492.5,12498.5,12499.85,12499.98,12500.0,12500.0,0.0,10__0
CNH,Industrial Products,Manufacturing - Farm Equipment,6,10,3,21007.5,25321.5,26292.15,26389.22,26398.92,26399.89,0.0,10__0
CNI,Transportation,Transportation - Rail,53,15,3,12443.0,36253.6,53075.86,54758.09,54926.31,54943.13,0.0,15__0
CNK,Consumer Discretionary,Film and Television Production and Distribution,111,20,2,166250.0,359000.0,395457.6,399401.76,399796.18,399835.62,1.0,20__1
CNM,Industrial Products,Manufacturing - Tools & Related Products,371,25,2,82600.0,205796.2,465931.26,562968.13,572671.81,573642.18,2.0,25__2
CNMD,Medical,Medical - Dental Supplies,67,20,2,90382.0,229920.0,282192.0,287419.2,287941.92,287994.19,3.0,20__3
CNNE,Finance,Financial - Investment Management,1,0,3,45500.0,45500.0,45500.0,45500.0,45500.0,45500.0,1.0,0__1
CNO,Finance,Insurance - Multi line,2,5,3,17317.5,17863.5,17986.35,17998.64,17999.86,17999.99,3.0,5__3
CNP,Utilities,Utility - Electric Power,35,15,3,30000.0,37583.4,41099.34,41450.93,41486.09,41489.61,0.0,15__0
CNQ,Oils-Energy,Oil and Gas - Exploration and Production - Canadian,149,20,2,18085.0,34031.2,52457.68,55033.77,55291.38,55317.14,0.0,20__0
CNR,Oils-Energy,Coal,64,20,2,65297.0,104055.0,104905.5,104990.55,104999.06,104999.91,0.0,20__0
CNTA,Medical,Medical - Drugs,114,20,2,77940.0,471195.0,589830.0,598983.0,599898.3,599989.83,1.0,20__1
CNX,Oils-Energy,Oil and Gas - Exploration and Production - United States,130,20,2,92750.0,249275.0,345810.0,358581.0,359858.1,359985.81,3.0,20__3
CNXC,Business Services,Business - Services,101,20,2,21600.0,40320.0,50762.7,51806.97,51911.4,51921.84,0.0,20__0
CNXN,Retail-Wholesale,Retail - Computer Hardware,2,5,3,10369.0,10649.8,10712.98,10719.3,10719.93,10719.99,0.0,5__0
COCO,Consumer Staples,Beverages - Soft drinks,6,10,3,14137.5,15427.5,15717.75,15746.78,15749.68,15749.97,0.0,10__0
COF,Finance,Financial - Consumer Loans,5682,40,2,32000.0,132781.2,644135.82,3336065.64,3970668.56,4034128.86,1.0,40__1
COGT,Medical,Medical - Biomedical and Genetics,12,10,3,17166.0,20633.2,21413.32,21491.33,21499.13,21499.91,0.0,10__0
COHR,Business Services,Technology Services,3327,35,2,32000.0,128101.94,607882.28,1150357.5,1296285.75,1310878.57,1.0,35__1
COHU,Computer and Technology,Electronics - Manufacturing Machinery,1,0,3,5445.0,5445.0,5445.0,5445.0,5445.0,5445.0,2.0,0__2
COIN,Finance,Financial - Miscellaneous Services,275414,55,1,30658.05,105000.0,1715269.24,6578251.41,13211019.75,16799572.98,1.0,55__1
COLB,Finance,Banks - West,3,5,3,6135.0,6347.0,6394.7,6399.47,6399.95,6399.99,0.0,5__0
COLD,Finance,REIT and Equity Trust - Other,3,5,3,13855.5,14687.1,14874.21,14892.92,14894.79,14894.98,3.0,5__3
COLL,Medical,Medical - Drugs,1,0,3,7200.0,7200.0,7200.0,7200.0,7200.0,7200.0,2.0,0__2
COLM,Consumer Discretionary,Textile - Apparel,21,15,3,12505.0,14101.0,14460.1,14496.01,14499.6,14499.96,0.0,15__0
COMM,Computer and Technology,Communication - Infrastructure,96,20,2,17882.5,28147.7,35187.77,35891.78,35962.18,35969.22,0.0,20__0
COMP,Computer and Technology,Internet - Software,82,20,2,19750.0,72278.4,74727.84,74972.78,74997.28,74999.73,0.0,20__0
COO,Medical,Medical - Dental Supplies,138,20,2,58443.6,84115.0,137311.82,144357.18,145061.72,145132.17,0.0,20__0
COOP,Finance,Financial - Consumer Loans,96,20,2,17867.5,25386.0,74736.6,79671.66,80165.17,80214.52,0.0,20__0
COP,Oils-Energy,Oil and Gas - Integrated - United States,2542,35,2,24997.4,97994.34,340889.5,540078.26,567450.63,570187.86,0.0,35__0
COR,Medical,Medical Services,881,30,2,15736.0,68350.0,167508.0,180100.8,181360.08,181486.01,2.0,30__2
CORT,Medical,Medical - Drugs,814,30,2,47412.0,246555.52,510900.0,1023090.0,1074309.0,1079430.9,0.0,30__0
CORZ,Finance,Financial - Miscellaneous Services,5607,35,2,29995.8,98492.5,539107.51,1150556.75,1346430.27,1366017.63,1.0,35__1
COST,Retail-Wholesale,Retail - Discount Stores,80860,50,1,24354.2,66316.4,253807.06,770684.54,1199483.82,1273560.28,4.0,50__4
COTY,Consumer Staples,Cosmetics,7,10,3,10296.0,11659.2,11965.92,11996.59,11999.66,11999.97,0.0,10__0
COUR,Business Services,Technology Services,60,20,2,15636.5,28908.45,43269.35,44705.43,44849.04,44863.4,0.0,20__0
CP,Transportation,Transportation - Rail,317,25,2,33940.8,135082.56,586727.3,647610.23,653698.52,654307.35,0.0,25__0
CPA,Transportation,Transportation - Airline,65,20,2,15266.0,30198.4,52915.84,55187.58,55414.76,55437.48,0.0,20__0
CPAY,Business Services,Financial Transaction Services,291,25,2,10770.0,26850.0,119091.0,135299.1,136919.91,137081.99,0.0,25__0
CPB,Consumer Staples,Food - Miscellaneous,204,25,2,40364.4,139631.16,278176.21,309125.22,312220.12,312529.61,0.0,25__0
CPF,Finance,Banks - West,1,0,3,11250.0,11250.0,11250.0,11250.0,11250.0,11250.0,0.0,0__0
CPIX,Medical,Medical - Drugs,9,10,3,12936.0,13387.2,13488.72,13498.87,13499.89,13499.99,0.0,10__0
CPNG,Retail-Wholesale,Internet - Commerce,824,30,2,18787.5,65728.0,147610.17,305534.82,321327.28,322906.53,2.0,30__2
CPRI,Retail-Wholesale,Retail - Apparel and Shoes,2965,35,2,36920.0,277200.0,930000.0,2300000.0,2300000.0,2300000.0,2.0,35__2
CPRT,Business Services,Auction and Valuation Services,196,25,2,20980.0,82147.45,284452.88,325445.29,329544.53,329954.45,0.0,25__0
CPRX,Medical,Medical - Drugs,19,15,3,10931.5,13786.3,14428.63,14492.86,14499.29,14499.93,0.0,15__0
CPS,Auto-Tires-Trucks,Automotive - Original Equipment,18,15,3,15676.5,36423.3,41091.33,41558.13,41604.81,41609.48,0.0,15__0
CPT,Finance,REIT and Equity Trust - Residential,2,5,3,5200.5,5216.1,5219.61,5219.96,5220.0,5220.0,0.0,5__0
CQP,Oils-Energy,Alternative Energy - Other,5,5,3,6600.0,6920.0,6992.0,6999.2,6999.92,6999.99,0.0,5__0
CR,Industrial Products,Manufacturing - General Industrial ,222,25,2,77070.0,190571.22,636420.0,731892.0,741439.2,742393.92,2.0,25__2
CRBG,Finance,Insurance - Multi line,206,25,2,24600.0,59625.0,356040.0,413604.0,419360.4,419936.04,0.0,25__0
CRBP,Medical,Medical - Drugs,246,25,2,19687.5,42236.25,99997.6,105624.76,106187.48,106243.75,0.0,25__0
CRC,Oils-Energy,Oil and Gas - Exploration and Production - United States,57,20,2,12920.0,17985.6,23398.56,23939.86,23993.99,23999.4,0.0,20__0
CRCL,Finance,Financial - Miscellaneous Services,4804,35,2,25000.0,69001.54,194792.21,313330.95,333868.09,335921.81,0.0,35__0
CRCT,Business Services,Technology Services,2,5,3,4760.0,4792.0,4799.2,4799.92,4799.99,4800.0,0.0,5__0
CRDF,Medical,Medical - Biomedical and Genetics,14,10,3,35726.2,42450.84,43963.88,44115.19,44130.32,44131.83,0.0,10__0
CRDO,Computer and Technology,Electronics - Semiconductors,3350,35,2,27768.15,84431.7,214643.6,572565.0,572565.0,572565.0,0.0,35__0
CRGY,Oils-Energy,Alternative Energy - Other,4,5,3,20854.0,22034.8,22300.48,22327.05,22329.7,22329.97,3.0,5__3
CRH,Construction,Building Products - Miscellaneous,1914,35,2,45203.0,180326.25,817400.0,1202175.0,1245217.5,1249521.75,1.0,35__1
CRI,Consumer Discretionary,Shoes and Retail Apparel ,139,20,2,167750.0,655085.2,761828.04,763494.8,763661.48,763678.15,1.0,20__1
CRK,Oils-Energy,Oil and Gas - Exploration and Production - United States,132,20,2,24870.75,93658.38,289232.77,313323.28,315732.33,315973.23,3.0,20__3
CRL,Medical,Medical Services,473,25,2,22000.0,77600.0,493719.24,535011.92,539141.19,539554.12,0.0,25__0
CRM,Computer and Technology,Computer - Software,43859,45,1,28320.0,70711.5,257894.81,1068271.54,3213641.1,4281364.11,0.0,45__0
CRMD,Medical,Medical - Biomedical and Genetics,177,20,2,9577.0,17659.12,78283.69,89840.87,90996.59,91112.16,0.0,20__0
CRNC,Computer and Technology,Computers - IT Services,425,25,2,19060.0,33846.8,82402.4,95720.24,97052.02,97185.2,0.0,25__0
CRNT,Computer and Technology,Wireless Non-US ,6,10,3,5550.0,5670.0,5697.0,5699.7,5699.97,5700.0,0.0,10__0
CRNX,Medical,Medical - Drugs,30,15,3,21071.8,59543.0,73454.3,74845.43,74984.54,74998.45,0.0,15__0
CRON,Medical,Medical - Drugs,1,0,3,4990.0,4990.0,4990.0,4990.0,4990.0,4990.0,2.0,0__2
CROX,Consumer Discretionary,Textile - Apparel,2806,35,2,24737.5,80912.0,730575.0,2030771.9,2077093.19,2081725.32,2.0,35__2
CRS,Basic Materials,Steel - Speciality,655,30,2,37000.0,97021.26,193149.17,238262.42,242773.74,243224.87,2.0,30__2
CRSP,Medical,Medical - Biomedical and Genetics,1156,30,2,20000.0,45945.0,258640.85,259870.0,259870.0,259870.0,2.0,30__2
CRSR,Consumer Discretionary,Gaming,55,15,3,14779.8,84350.0,143885.0,149838.5,150433.85,150493.39,0.0,15__0
CRTO,Computer and Technology,Internet - Software and Services,52,15,3,164250.0,1639750.0,2683975.0,2788397.5,2798839.75,2799883.98,2.0,15__2
CRUS,Computer and Technology,Electronics - Semiconductors,299,25,2,27378.0,201197.4,925868.87,1169886.89,1194288.69,1196728.87,2.0,25__2
CRVL,Business Services,Business - Services,2,5,3,5465.0,5493.0,5499.3,5499.93,5499.99,5500.0,0.0,5__0
CRVS,Medical,Medical - Biomedical and Genetics,144,20,2,26994.5,182800.0,302840.0,318284.0,319828.4,319982.84,3.0,20__3
CRWD,Computer and Technology,Security,68527,50,1,24400.0,59368.8,207098.12,556361.4,1202071.3,1872541.33,4.0,50__4
CRWV,Computer and Technology,Internet - Software,47455,45,1,29000.0,82643.4,292214.1,778065.8,1813146.44,1853010.64,0.0,45__0
CSCO,Computer and Technology,Computer - Networking,4677,35,2,22602.0,67152.72,291284.66,831755.04,1154068.4,1186299.74,0.0,35__0
CSGP,Computer and Technology,Computers - IT Services,415,25,2,18536.5,61577.4,288314.88,377023.49,385894.35,386781.43,0.0,25__0
CSIQ,Oils-Energy,Solar,252,25,2,13685.0,22745.0,35205.04,38584.5,38922.45,38956.25,0.0,25__0
CSL,Conglomerates,Diversified Operations,24,15,3,13518.25,15591.1,16094.11,16144.41,16149.44,16149.94,0.0,15__0
CSTL,Medical,Medical - Biomedical and Genetics,31,15,3,9935.0,41860.0,53686.0,54868.6,54986.86,54998.69,0.0,15__0
CSTM,Industrial Products,Metal Products - Distribution,42,15,3,149193.0,223000.38,249893.84,252583.18,252852.12,252879.01,0.0,15__0
CSWC,Finance,Financial - Investment Management,3,5,3,3658.0,3707.6,3718.76,3719.88,3719.99,3720.0,0.0,5__0
CSX,Transportation,Transportation - Rail,231,25,2,60637.5,98548.8,346350.0,399135.0,404413.5,404941.35,2.0,25__2
CTAS,Business Services,Business - Services,680,30,2,30297.45,130738.4,305219.46,315155.95,316149.59,316248.96,2.0,30__2
CTEV,Medical,Medical Info Systems,5,5,3,14256.0,15347.2,15592.72,15617.27,15619.73,15619.97,3.0,5__3
CTLP,Business Services,Financial Transaction Services,4,5,3,3933.25,3986.65,3998.67,3999.87,3999.99,4000.0,0.0,5__0
CTMX,Medical,Medical - Biomedical and Genetics,5,5,3,10143.0,11100.6,11316.06,11337.61,11339.76,11339.98,0.0,5__0
CTO,Finance,REIT and Equity Trust - Other,1,0,3,3465.0,3465.0,3465.0,3465.0,3465.0,3465.0,2.0,0__2
CTRA,Oils-Energy,Oil and Gas - Exploration and Production - United States,101,20,2,25449.0,33000.0,104064.0,111170.4,111881.04,111952.1,0.0,20__0
CTRE,Finance,REIT and Equity Trust - Other,2,5,3,6060.5,6172.1,6197.21,6199.72,6199.97,6200.0,0.0,5__0
CTRI,Utilities,Utility - Electric Power,8,10,3,9975.0,10395.0,10489.5,10498.95,10499.9,10499.99,0.0,10__0
CTRN,Retail-Wholesale,Retail - Apparel and Shoes,22,15,3,10390.0,11290.0,11479.0,11497.9,11499.79,11499.98,0.0,15__0
CTSH,Computer and Technology,Computers - IT Services,392,25,2,29650.5,131507.05,224706.0,236670.6,237867.06,237986.71,0.0,25__0
CTVA,Consumer Staples,Agriculture - Operations,100,20,2,21378.0,52252.96,65525.3,66852.53,66985.25,66998.53,0.0,20__0
CTXR,Medical,Medical - Drugs,5,5,3,4076.0,4091.2,4094.62,4094.96,4095.0,4095.0,0.0,5__0
CUBE,Finance,REIT and Equity Trust - Other,2,5,3,4365.0,4393.0,4399.3,4399.93,4399.99,4400.0,0.0,5__0
CUBI,Finance,Banks - Southeast,48,15,3,28180.0,45300.0,49530.0,49953.0,49995.3,49999.53,0.0,15__0
CUK,Consumer Discretionary,Leisure and Recreation Services,3,5,3,5394.0,5478.8,5497.88,5499.79,5499.98,5500.0,0.0,5__0
CURI,Consumer Discretionary,Film and Television Production and Distribution,1,0,3,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,2.0,0__2
CURV,Retail-Wholesale,Retail - Apparel and Shoes,2,5,3,23906.25,24781.25,24978.13,24997.81,24999.78,24999.98,3.0,5__3
CUZ,Finance,REIT and Equity Trust - Other,1,0,3,4824.0,4824.0,4824.0,4824.0,4824.0,4824.0,2.0,0__2
CVAC,Medical,Medical - Biomedical and Genetics,4,5,3,19199.25,20975.85,21375.59,21415.56,21419.56,21419.96,3.0,5__3
CVCO,Construction,Building Products - Mobile Homes and RV Builders,51,15,3,20820.0,123900.0,187530.0,193893.0,194529.3,194592.93,0.0,15__0
CVE,Oils-Energy,Oil and Gas - Integrated - Canadian,111,20,2,20930.0,87644.0,95646.0,95784.6,95798.46,95799.85,0.0,20__0
CVEO,Consumer Discretionary,Hotels and Motels,1,0,3,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,2.0,0__2
CVGW,Consumer Staples,Agriculture - Operations,14,10,3,9191.25,9438.25,9493.83,9499.38,9499.94,9499.99,0.0,10__0
CVI,Oils-Energy,Oil and Gas - Refining and Marketing,64,20,2,134900.0,193800.6,235407.06,239567.71,239983.77,240025.38,3.0,20__3
CVLT,Computer and Technology,Computer - Software,1488,30,2,27440.0,59964.6,635214.5,880606.54,898780.65,900598.07,0.0,30__0
CVNA,Retail-Wholesale,Internet - Commerce,84260,50,1,46782.9,149246.09,468134.47,1427066.25,5191288.34,8280728.83,0.0,50__0
CVRX,Medical,Medical - Instruments,12,10,3,420000.0,420000.0,420000.0,420000.0,420000.0,420000.0,2.0,10__2
CVS,Medical,Medical Services,6348,40,2,23100.0,84687.45,336930.68,700091.5,731509.15,734650.91,3.0,40__3
CVX,Oils-Energy,Oil and Gas - Integrated - International,8100,40,2,22051.95,54800.9,219648.75,461131.32,631113.13,648111.31,3.0,40__3
CW,Aerospace,Aerospace - Defense Equipment,157,20,2,23205.0,32781.4,39097.5,39711.75,39773.18,39779.32,0.0,20__0
CWAN,Computer and Technology,Internet - Software,28,15,3,9678.0,30890.0,37937.0,38641.7,38712.17,38719.22,0.0,15__0
CWEN,Oils-Energy,Alternative Energy - Other,34,15,3,16817.25,29089.61,32589.16,32939.12,32974.11,32977.61,0.0,15__0
CWH,Auto-Tires-Trucks,Automotive - Original Equipment,142,20,2,59775.0,386297.4,614079.76,630657.98,632315.8,632481.58,1.0,20__1
CWK,Finance,Real Estate - Operations,7,10,3,144000.0,172800.0,179280.0,179928.0,179992.8,179999.28,2.0,10__2
CWST,Business Services,Waste Removal Services,42,15,3,8170.25,9836.0,9983.6,9998.36,9999.84,9999.98,0.0,15__0
CX,Construction,Building Products - Concrete and Aggregates,23,15,3,17960.0,62460.0,73746.0,74874.6,74987.46,74998.75,0.0,15__0
CXAI,Business Services,Technology Services,4,5,3,7255.0,7627.0,7710.7,7719.07,7719.91,7719.99,0.0,5__0
CXDO,Computer and Technology,Internet - Services,1,0,3,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,2.0,0__2
CXM,Business Services,Technology Services,6,10,3,10710.0,11742.0,11974.2,11997.42,11999.74,11999.97,0.0,10__0
