security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,category_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,min_trade_value,expiration_days_out,otm_range,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,number_of_bins,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
UPS,Transportation,Transportation - Air Freight and Cargo,40__0,40,0.0,4. p999_trade_value,255500.0,435000.0,O:UPS241115P00130000,UPS,P,130.0,2024-11-15,233,0,312,3.65,1729517968690000000,700,255500.0,2024-10-21,3000.0,30,True,Multi Leg Auction,Transportation,Transportation - Air Freight and Cargo,133.52,133.85,131.11,131.33,8,5.407390904470732,20,1,1,0,0,0
UPS,Transportation,Transportation - Air Freight and Cargo,40__0,40,0.0,5. p99_trade_value,60605.99999999999,195520.0,O:UPS241025C00135000,UPS,C,135.0,2024-10-25,233,0,304,2.35,1729607713936000000,832,195520.0,2024-10-22,3000.0,30,True,Multi Leg Auction,Transportation,Transportation - Air Freight and Cargo,130.82,132.1,129.77,131.33,9,5.29119118856246,20,1,1,1,1,0
UPS,Transportation,Transportation - Air Freight and Cargo,40__0,40,0.0,5. p99_trade_value,60605.99999999999,195520.0,O:UPS241025C00135000,UPS,C,135.0,2024-10-25,233,0,323,2.81,1729712597119000000,250,70250.0,2024-10-23,3000.0,30,True,Multi Leg Auction,Transportation,Transportation - Air Freight and Cargo,131.24,132.1,130.545,131.41,61,4.846646328577117,20,1,1,1,1,0
UPS,Transportation,Transportation - Air Freight and Cargo,40__0,40,0.0,5. p99_trade_value,60605.99999999999,195520.0,O:UPS241025P00126000,UPS,P,126.0,2024-10-25,209,0,320,2.22,1729710569108000000,283,62826.00000000001,2024-10-23,3000.0,30,True,Automatic Execution,Transportation,Transportation - Air Freight and Cargo,131.24,132.1,130.545,131.41,66,4.798139409974929,20,1,0,0,0,1
UPS,Transportation,Transportation - Air Freight and Cargo,40__0,40,0.0,5. p99_trade_value,60605.99999999999,195520.0,O:UPS241025P00130000,UPS,P,130.0,2024-10-25,209,0,303,3.3,1729690311200000000,277,91409.99999999999,2024-10-23,3000.0,30,True,Automatic Execution,Transportation,Transportation - Air Freight and Cargo,131.24,132.1,130.545,131.41,34,4.960993708942336,20,1,0,0,0,1
UPS,Transportation,Transportation - Air Freight and Cargo,40__0,40,0.0,4. p999_trade_value,255500.0,435000.0,O:UPS241101P00128000,UPS,P,128.0,2024-11-01,227,0,304,2.65,1729692100389000000,1214,321710.0,2024-10-23,3000.0,30,True,Single Leg Auction Non ISO,Transportation,Transportation - Air Freight and Cargo,131.24,132.1,130.545,131.41,6,5.507464560676047,20,1,0,0,0,1
UPS,Transportation,Transportation - Air Freight and Cargo,40__0,40,0.0,5. p99_trade_value,60605.99999999999,195520.0,O:UPS241115C00135000,UPS,C,135.0,2024-11-15,233,0,323,3.77,1729712597119000000,250,94250.0,2024-10-23,3000.0,30,True,Multi Leg Auction,Transportation,Transportation - Air Freight and Cargo,131.24,132.1,130.545,131.41,31,4.97428135887783,20,1,1,0,0,0
UPS,Transportation,Transportation - Air Freight and Cargo,40__0,40,0.0,5. p99_trade_value,60605.99999999999,195520.0,O:UPS241115C00135000,UPS,C,135.0,2024-11-15,232,0,304,3.86,1729709908538000000,200,77200.0,2024-10-23,3000.0,30,True,Multi Leg auto-electronic trade,Transportation,Transportation - Air Freight and Cargo,131.24,132.1,130.545,131.41,45,4.887617300335736,20,1,1,0,0,0
UPS,Transportation,Transportation - Air Freight and Cargo,40__0,40,0.0,5. p99_trade_value,60605.99999999999,195520.0,O:UPS241115P00125000,UPS,P,125.0,2024-11-15,233,0,323,2.72,1729712597119000000,250,68000.0,2024-10-23,3000.0,30,True,Multi Leg Auction,Transportation,Transportation - Air Freight and Cargo,131.24,132.1,130.545,131.41,62,4.832508912706237,20,1,0,0,0,1
UPS,Transportation,Transportation - Air Freight and Cargo,40__0,40,0.0,5. p99_trade_value,60605.99999999999,195520.0,O:UPS241122C00135000,UPS,C,135.0,2024-11-22,232,0,304,3.89,1729709908538000000,200,77800.0,2024-10-23,3000.0,30,True,Multi Leg auto-electronic trade,Transportation,Transportation - Air Freight and Cargo,131.24,132.1,130.545,131.41,44,4.8909795969896885,20,1,1,1,0,0
