security,sector,industry,itm_threshold,unusual_baseline,trade_value_category,num_trades_over_baseline,num_trades_total,final_cluster,trade_volume_bin,trade_volume_bin_rank,cluster,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
CDTX,Medical,Medical - Biomedical and Genetics,0.55,10620.0,1. p999999_trade_value,1.0,20,15__0,15,3,0.0,7692.0,7941.0,10084.2,10566.42,10614.64,10619.46,10619.95
CDXS,Medical,Medical - Biomedical and Genetics,0.55,,,,2,5__0,5,3,0.0,9304.0,9612.0,9858.4,9913.84,9919.38,9919.94,9919.99
CELC,Medical,Medical - Biomedical and Genetics,0.55,14500.0,1. p999999_trade_value,1.0,1,0__0,0,3,0.0,14500.0,14500.0,14500.0,14500.0,14500.0,14500.0,14500.0
CERS,Medical,Medical - Products,0.55,3020.0000000000005,1. p999999_trade_value,1.0,1,0__2,0,3,2.0,3020.0,3020.0,3020.0,3020.0,3020.0,3020.0,3020.0
CERT,Medical,Medical - Biomedical and Genetics,0.55,,,,9,10__0,10,3,0.0,8461.0,9883.0,11020.6,11276.56,11302.16,11304.72,11304.97
CGEM,Medical,Medical - Biomedical and Genetics,0.55,,,,4,5__2,5,3,2.0,107400.0,127200.0,143040.0,146604.0,146960.4,146996.04,146999.6
CGEN,Medical,Medical - Biomedical and Genetics,0.55,,,,10,10__0,10,3,0.0,8027.4,10238.7,12007.74,12405.77,12445.58,12449.56,12449.96
CHRS,Medical,Medical - Biomedical and Genetics,0.55,,,,13,10__0,10,3,0.0,9642.0,11904.0,14380.8,14938.08,14993.81,14999.38,14999.94
CLPT,Medical,Medical - Instruments,0.55,11205.0,8. p75_trade_value,6.0,21,15__0,15,3,0.0,17000.0,29250.0,31450.0,31945.0,31994.5,31999.45,31999.95
CLSD,Medical,Medical - Biomedical and Genetics,0.55,,,,11,10__0,10,3,0.0,7470.0,7485.0,7497.0,7499.7,7499.97,7500.0,7500.0
COGT,Medical,Medical - Biomedical and Genetics,0.55,,,,12,10__0,10,3,0.0,13620.0,17166.0,20633.2,21413.32,21491.33,21499.13,21499.91
COLL,Medical,Medical - Drugs,0.55,,,,1,0__2,0,3,2.0,7200.0,7200.0,7200.0,7200.0,7200.0,7200.0,7200.0
CPIX,Medical,Medical - Drugs,0.55,,,,9,10__0,10,3,0.0,12372.0,12936.0,13387.2,13488.72,13498.87,13499.89,13499.99
CPRX,Medical,Medical - Drugs,0.55,,,,19,15__0,15,3,0.0,10171.0,10931.5,13786.3,14428.63,14492.86,14499.29,14499.93
CRDF,Medical,Medical - Biomedical and Genetics,0.55,31200.0,7. p90_trade_value,2.0,14,10__0,10,3,0.0,26247.3,35726.2,42450.84,43963.88,44115.19,44130.32,44131.83
CRNX,Medical,Medical - Drugs,0.55,,,,30,15__0,15,3,0.0,19310.4,21071.8,59543.0,73454.3,74845.43,74984.54,74998.45
CRON,Medical,Medical - Drugs,0.55,4990.000000000001,1. p999999_trade_value,1.0,1,0__2,0,3,2.0,4990.0,4990.0,4990.0,4990.0,4990.0,4990.0,4990.0
CSTL,Medical,Medical - Biomedical and Genetics,0.55,,,,31,15__0,15,3,0.0,8000.0,9935.0,41860.0,53686.0,54868.6,54986.86,54998.69
CTMX,Medical,Medical - Biomedical and Genetics,0.55,,,,5,5__0,5,3,0.0,8946.0,10143.0,11100.6,11316.06,11337.61,11339.76,11339.98
CTXR,Medical,Medical - Drugs,0.55,,,,5,5__0,5,3,0.0,4057.0,4076.0,4091.2,4094.62,4094.96,4095.0,4095.0
CVAC,Medical,Medical - Biomedical and Genetics,0.55,21420.0,1. p999999_trade_value,1.0,4,5__3,5,3,3.0,16978.5,19199.25,20975.85,21375.59,21415.56,21419.56,21419.96
CVRX,Medical,Medical - Instruments,0.55,,,,12,10__2,10,3,2.0,402000.0,420000.0,420000.0,420000.0,420000.0,420000.0,420000.0
CYBN,Medical,Medical - Biomedical and Genetics,0.55,,,,8,10__0,10,3,0.0,6773.0,8386.5,9677.3,9967.73,9996.77,9999.68,9999.97
DAWN,Medical,Medical - Biomedical and Genetics,0.55,,,,18,15__0,15,3,0.0,8343.3,10864.35,13372.87,13937.29,13993.73,13999.37,13999.94
DCTH,Medical,Medical - Instruments,0.55,8469.999999999998,2. p99999_trade_value,1.0,14,10__0,10,3,0.0,7470.0,8229.5,8421.9,8465.19,8469.52,8469.95,8470.0
DNLI,Medical,Medical - Biomedical and Genetics,0.55,41000.0,8. p75_trade_value,3.0,12,10__2,10,3,2.0,58100.0,78000.0,95600.0,99560.0,99956.0,99995.6,99999.56
DNTH,Medical,Medical - Biomedical and Genetics,0.55,26250.0,1. p999999_trade_value,1.0,5,5__3,5,3,3.0,24626.0,25438.0,26087.6,26233.76,26248.38,26249.84,26249.98
DVAX,Medical,Medical - Biomedical and Genetics,0.55,9690.0,8. p75_trade_value,3.0,12,10__0,10,3,0.0,9969.0,29125.0,47825.0,52032.5,52453.25,52495.33,52499.53
DWTX,Medical,Medical - Biomedical and Genetics,0.55,,,,1,0__0,0,3,0.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
DYAI,Medical,Medical - Biomedical and Genetics,0.55,,,,1,0__2,0,3,2.0,5400.0,5400.0,5400.0,5400.0,5400.0,5400.0,5400.0
EDAP,Medical,Medical - Instruments,0.55,,,,1,0__2,0,3,2.0,4975.0,4975.0,4975.0,4975.0,4975.0,4975.0,4975.0
EDIT,Medical,Medical - Biomedical and Genetics,0.55,,,,17,10__0,10,3,0.0,5766.0,8785.2,17697.84,19703.18,19903.72,19923.77,19925.78
EHC,Medical,Medical - Outpatient and Home Healthcare,0.55,,,,37,15__0,15,3,0.0,8050.0,36000.0,61600.0,62410.0,62491.0,62499.1,62499.91
ELAN,Medical,Medical - Outpatient and Home Healthcare,0.55,,,,56,15__0,15,3,0.0,8482.5,10869.0,16244.55,17243.96,17343.9,17353.89,17354.89
