min_data_date,max_data_date,security,option_ticker,expiration,option_type,strike_price,last_9_count,last_9_avg_volume,last_9_median_volume,last_9_std_volume,last_21_count,last_21_avg_volume,last_21_median_volume,last_21_std_volume,last_50_count,last_50_avg_volume,last_50_median_volume,last_50_std_volume,last_100_count,last_100_avg_volume,last_100_median_volume,last_100_std_volume,anomaly_category,anomaly_volume
2025-01-14,2025-05-12,FULT,O:FULT250221P00015000,2025-02-21,P,15.0,1,22.0,22.0,0.0,1,22.0,22.0,0.0,1,22.0,22.0,0.0,1,22.0,22.0,0.0,21,53.135000000000005
2025-01-14,2025-05-12,FULT,O:FULT250221P00020000,2025-02-21,P,20.0,2,32.5,32.5,3.536,4,29.25,31.0,6.5,4,29.25,31.0,6.5,4,29.25,31.0,6.5,21,53.135000000000005
2025-01-14,2025-05-12,FULT,O:FULT250221P00022500,2025-02-21,P,22.5,2,20.0,20.0,0.0,2,20.0,20.0,0.0,2,20.0,20.0,0.0,2,20.0,20.0,0.0,21,53.135000000000005
2025-01-14,2025-05-12,FULT,O:FULT250321C00020000,2025-03-21,C,20.0,3,38.67,28.0,21.127,4,31.5,26.5,22.428,4,31.5,26.5,22.428,4,31.5,26.5,22.428,21,53.135000000000005
2025-01-14,2025-05-12,FULT,O:FULT250321P00017500,2025-03-21,P,17.5,1,14.0,14.0,0.0,1,14.0,14.0,0.0,1,14.0,14.0,0.0,1,14.0,14.0,0.0,21,53.135000000000005
2025-01-14,2025-05-12,FULT,O:FULT250321P00020000,2025-03-21,P,20.0,4,31.25,27.0,14.175,5,27.0,22.0,15.524,5,27.0,22.0,15.524,5,27.0,22.0,15.524,21,53.135000000000005
2025-01-14,2025-05-12,FULT,O:FULT250417C00015000,2025-04-17,C,15.0,2,41.5,41.5,6.364,2,41.5,41.5,6.364,2,41.5,41.5,6.364,2,41.5,41.5,6.364,21,53.135000000000005
2025-01-14,2025-05-12,FULT,O:FULT250417C00017500,2025-04-17,C,17.5,1,51.0,51.0,0.0,1,51.0,51.0,0.0,1,51.0,51.0,0.0,1,51.0,51.0,0.0,21,53.135000000000005
2025-01-14,2025-05-12,FULT,O:FULT250417P00015000,2025-04-17,P,15.0,2,125.0,125.0,35.355,2,125.0,125.0,35.355,2,125.0,125.0,35.355,2,125.0,125.0,35.355,21,53.135000000000005
2025-01-14,2025-05-12,FULT,O:FULT250417P00017500,2025-04-17,P,17.5,1,22.0,22.0,0.0,1,22.0,22.0,0.0,1,22.0,22.0,0.0,1,22.0,22.0,0.0,21,53.135000000000005
2025-01-14,2025-05-12,FULT,O:FULT250417P00020000,2025-04-17,P,20.0,2,10.0,10.0,0.0,2,10.0,10.0,0.0,3,10.0,10.0,0.0,3,10.0,10.0,0.0,21,53.135000000000005
2025-01-14,2025-05-12,FULT,O:FULT250516C00015000,2025-05-16,C,15.0,3,56.0,56.0,46.0,3,56.0,56.0,46.0,3,56.0,56.0,46.0,3,56.0,56.0,46.0,21,53.135000000000005
2025-01-14,2025-05-12,FULT,O:FULT250516C00017500,2025-05-16,C,17.5,1,61.0,61.0,0.0,5,36.6,26.0,27.135,5,36.6,26.0,27.135,5,36.6,26.0,27.135,21,53.135000000000005
2025-01-14,2025-05-12,FULT,O:FULT250516P00015000,2025-05-16,P,15.0,1,100.0,100.0,0.0,1,100.0,100.0,0.0,1,100.0,100.0,0.0,1,100.0,100.0,0.0,21,53.135000000000005
2025-01-14,2025-05-12,FULT,O:FULT250516P00017500,2025-05-16,P,17.5,1,10.0,10.0,0.0,1,10.0,10.0,0.0,1,10.0,10.0,0.0,1,10.0,10.0,0.0,21,53.135000000000005
2025-01-14,2025-05-12,FULT,O:FULT250620C00017500,2025-06-20,C,17.5,1,11.0,11.0,0.0,1,11.0,11.0,0.0,1,11.0,11.0,0.0,1,11.0,11.0,0.0,21,53.135000000000005
2025-01-21,2025-03-18,SFNC,O:SFNC250221C00022500,2025-02-21,C,22.5,1,14.0,14.0,0.0,1,14.0,14.0,0.0,1,14.0,14.0,0.0,1,14.0,14.0,0.0,21,94.28999999999999
2025-01-21,2025-03-18,SFNC,O:SFNC250221C00025000,2025-02-21,C,25.0,1,90.0,90.0,0.0,1,90.0,90.0,0.0,1,90.0,90.0,0.0,1,90.0,90.0,0.0,21,94.28999999999999
2025-01-21,2025-03-18,SFNC,O:SFNC250321C00022500,2025-03-21,C,22.5,1,11.0,11.0,0.0,2,45.5,45.5,48.79,2,45.5,45.5,48.79,2,45.5,45.5,48.79,21,94.28999999999999
2025-01-21,2025-03-18,SFNC,O:SFNC250321P00020000,2025-03-21,P,20.0,2,20.5,20.5,4.95,3,24.33,24.0,7.506,3,24.33,24.0,7.506,3,24.33,24.0,7.506,21,94.28999999999999
2025-01-21,2025-03-18,SFNC,O:SFNC250321P00022500,2025-03-21,P,22.5,2,15.0,15.0,4.243,3,14.33,13.0,3.215,4,30.75,15.5,32.938,4,30.75,15.5,32.938,21,94.28999999999999
2025-01-21,2025-05-14,TFIN,O:TFIN250221C00070000,2025-02-21,C,70.0,1,30.0,30.0,0.0,3,20.0,20.0,10.0,3,20.0,20.0,10.0,3,20.0,20.0,10.0,21,30.502
2025-01-21,2025-05-14,TFIN,O:TFIN250221C00080000,2025-02-21,C,80.0,2,50.0,50.0,0.0,5,40.0,50.0,19.634,5,40.0,50.0,19.634,5,40.0,50.0,19.634,21,30.502
2025-01-21,2025-05-14,TFIN,O:TFIN250221C00085000,2025-02-21,C,85.0,1,30.0,30.0,0.0,1,30.0,30.0,0.0,1,30.0,30.0,0.0,1,30.0,30.0,0.0,21,30.502
2025-01-21,2025-05-14,TFIN,O:TFIN250221C00090000,2025-02-21,C,90.0,2,22.5,22.5,10.607,2,22.5,22.5,10.607,2,22.5,22.5,10.607,2,22.5,22.5,10.607,21,30.502
