security,sector,industry,num_trades,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value,trade_volume_bin,cluster,final_cluster,trade_volume_bin_rank
STLD,Basic Materials,Steel - Producers,1015,17276.0,36960.0,157010.0,830677.4,933501.24,943850.12,944885.01,30,0.0,30__0,8
STM,Computer and Technology,Semiconductor - General,241,20610.0,30000.0,150044.0,220000.0,220000.0,220000.0,220000.0,25,0.0,25__0,9
STN,Business Services,Consulting Services,1,3200.0,3200.0,3200.0,3200.0,3200.0,3200.0,3200.0,0,2.0,0__2,14
STNE,Computer and Technology,Internet - Software,161,48000.0,98747.0,204198.4,295964.56,311687.06,313259.31,313416.53,20,1.0,20__1,10
STNG,Transportation,Transportation - Shipping,417,17520.0,23650.0,48813.76,95817.64,105958.26,106972.33,107073.73,25,0.0,25__0,9
STOK,Medical,Medical - Biomedical and Genetics,5,10800.0,11400.0,11880.0,11988.0,11998.8,11999.88,11999.99,5,0.0,5__0,13
STR,Oils-Energy,Oil and Gas - Royalty Trust - United States,1,3075.0,3075.0,3075.0,3075.0,3075.0,3075.0,3075.0,0,2.0,0__2,14
STRA,Consumer Discretionary,Schools,6,12700.0,14850.0,16570.0,16957.0,16995.7,16999.57,16999.96,10,0.0,10__0,12
STRL,Construction,Engineering - R and D Services,237,14910.0,27560.0,69300.0,70191.0,70244.1,70249.41,70249.94,25,0.0,25__0,9
STT,Finance,Banks - Major Regional,396,14820.0,21487.5,98460.1,193080.0,227208.0,230620.8,230962.08,25,0.0,25__0,9
STVN,Medical,Medical - Drugs,2,17829.0,18644.5,19296.9,19443.69,19458.37,19459.84,19459.98,5,3.0,5__3,13
STWD,Finance,REIT and Equity Trust,40,8703.0,9981.0,19083.61,23927.76,24412.18,24460.62,24465.46,15,0.0,15__0,11
STX,Computer and Technology,Computer - Integrated Systems,1756,18016.0,27455.0,86781.6,291850.0,414111.68,418730.77,419192.68,30,2.0,30__2,8
STXS,Medical,Medical - Instruments,1,5250.0,5250.0,5250.0,5250.0,5250.0,5250.0,5250.0,0,2.0,0__2,14
STZ,Consumer Staples,Beverages - Alcohol,1881,14580.0,20250.0,102268.8,487303.2,503673.68,504543.37,504630.34,35,0.0,35__0,7
SU,Oils-Energy,Oil and Gas - Integrated - Canadian,428,13800.5,19854.95,88803.0,299535.5,343153.55,347515.36,347951.54,25,0.0,25__0,9
SUI,Finance,REIT and Equity Trust - Residential,214,25337.4,38800.0,142840.35,261362.5,278136.25,279813.63,279981.36,25,0.0,25__0,9
SUN,Oils-Energy,Oil and Gas - Refining and Marketing - Master Limited Partnerships,14,19667.0,32030.0,45446.0,48464.6,48766.46,48796.65,48799.66,10,0.0,10__0,12
SUP,Auto-Tires-Trucks,Automotive - Original Equipment,6,14000.0,17000.0,19400.0,19940.0,19994.0,19999.4,19999.94,10,0.0,10__0,12
SUPN,Medical,Medical - Generic Drugs,3,9192.0,9846.0,10369.2,10486.92,10498.69,10499.87,10499.99,5,0.0,5__0,13
SUPV,Finance,Banks - Foreign,12,6823.5,8156.25,9311.25,9571.13,9597.11,9599.71,9599.97,10,0.0,10__0,12
SURG,Computer and Technology,Internet - Software,1,3555.0,3555.0,3555.0,3555.0,3555.0,3555.0,3555.0,0,2.0,0__2,14
SVC,Finance,REIT and Equity Trust - Other,1,3240.0,3240.0,3240.0,3240.0,3240.0,3240.0,3240.0,0,2.0,0__2,14
SVM,Basic Materials,Mining - Miscellaneous,4,7342.5,7421.25,7484.25,7498.43,7499.84,7499.98,7500.0,5,0.0,5__0,13
SW,Basic Materials,Paper and Related Products,34,20000.0,55850.0,171950.0,197195.0,199719.5,199971.95,199997.19,15,0.0,15__0,11
SWBI,Consumer Discretionary,Leisure and Recreation Products,16,12725.0,13612.5,14962.5,15266.25,15296.63,15299.66,15299.97,10,0.0,10__0,12
SWK,Industrial Products,Manufacturing - Tools & Related Products,466,16128.0,29153.75,62222.65,121180.52,138118.05,139811.81,139981.18,25,0.0,25__0,9
SWKS,Computer and Technology,Semiconductors - Radio Frequency,1118,13787.5,20866.5,185899.4,405082.5,468856.5,474385.65,474938.56,30,2.0,30__2,8
SWTX,Medical,Medical - Biomedical and Genetics,5122,16298.0,26723.5,115773.2,541225.76,1420248.1,1545160.81,1557652.08,35,1.0,35__1,7
SWX,Utilities,Utility - Gas Distribution,3,5347.2,5385.6,5416.32,5423.23,5423.92,5423.99,5424.0,5,0.0,5__0,13
SXC,Oils-Energy,Coal,2,40132.0,42066.0,43613.2,43961.32,43996.13,43999.61,43999.96,5,1.0,5__1,13
SXI,Industrial Products,Manufacturing - General Industrial ,3,11100.0,11550.0,11910.0,11991.0,11999.1,11999.91,11999.99,5,0.0,5__0,13
SXT,Basic Materials,Chemical - Specialty,1,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,0,2.0,0__2,14
SYBT,Finance,Banks - Southeast,2,7550.0,7650.0,7730.0,7748.0,7749.8,7749.98,7750.0,5,0.0,5__0,13
SYF,Finance,Financial - Miscellaneous Services,686,20340.0,38075.0,106973.0,616230.38,647995.54,651172.05,651489.71,30,0.0,30__0,8
SYK,Medical,Medical - Products,1115,17136.0,29231.6,84165.06,294580.61,335477.83,339547.78,339954.78,30,2.0,30__2,8
SYM,Business Services,Technology Services,1288,16710.5,26386.5,88143.0,260841.1,626841.36,670184.14,674518.41,30,2.0,30__2,8
SYNA,Computer and Technology,Electronics - Semiconductors,42,13770.0,16881.0,122375.0,182337.5,188333.75,188933.38,188993.34,15,0.0,15__0,11
SYPR,Computer and Technology,Electronics - Miscellaneous Services,1,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,0,2.0,0__2,14
SYRE,Medical,Medical - Biomedical and Genetics,23,11820.0,14646.0,22591.8,24534.18,24728.42,24747.84,24749.78,15,0.0,15__0,11
SYY,Consumer Staples,Food - Miscellaneous,179,16205.0,42630.0,366912.0,444600.0,444600.0,444600.0,444600.0,25,2.0,25__2,9
T,Computer and Technology,Wireless National,2199,16322.0,25489.9,73590.8,162371.65,632228.26,715070.33,723354.53,35,0.0,35__0,7
TAC,Utilities,Utility - Electric Power,13,49200.0,75750.0,99150.0,104415.0,104941.5,104994.15,104999.42,10,3.0,10__3,12
TAL,Consumer Discretionary,Schools,210,11107.5,17880.3,33750.0,469776.0,532977.6,539297.76,539929.78,25,0.0,25__0,9
TALK,Medical,Medical Info Systems,11,5000.0,5500.0,5900.0,5990.0,5999.0,5999.9,5999.99,10,0.0,10__0,12
TALO,Oils-Energy,Oil and Gas - Exploration and Production - United States,3,5129.4,5362.2,5548.44,5590.34,5594.53,5594.95,5595.0,5,0.0,5__0,13
TAP,Consumer Staples,Beverages - Alcohol,154,14315.7,20586.5,65182.84,124672.5,133967.25,134896.72,134989.67,20,0.0,20__0,10
TARA,Medical,Medical - Drugs,17,7200.0,9932.0,12914.4,13585.44,13652.54,13659.25,13659.93,10,0.0,10__0,12
TARS,Medical,Medical - Biomedical and Genetics,64,22387.5,69150.0,219330.0,224433.0,224943.3,224994.33,224999.43,20,1.0,20__1,10
TASK,Computer and Technology,Computers - IT Services,20,18750.0,30003.0,30048.6,30058.86,30059.89,30059.99,30060.0,15,0.0,15__0,11
TBBB,Consumer Staples,Consumer Products - Staples,11,9000.0,13940.0,17892.0,18781.2,18870.12,18879.01,18879.9,10,0.0,10__0,12
TBBK,Finance,Banks - Northeast,34,24400.0,50331.25,52785.0,52785.0,52785.0,52785.0,52785.0,15,0.0,15__0,11
TBCH,Computer and Technology,Computer - Peripheral Equipment,33,20596.0,32656.0,38036.8,39047.68,39148.77,39158.88,39159.89,15,0.0,15__0,11
