security,sector,industry,level_1,unusual_baseline,trade_value_category,number_of_trades
LAES,Computer and Technology,Electronics - Semiconductors,0,,,
LAKE,Industrial Products,Security and Safety Services,0,,,
LAMR,Finance,REIT and Equity Trust - Other,0,,,
LANC,Consumer Staples,Food - Miscellaneous,0,4300.0,8. p75_trade_value,5.0
LASE,Industrial Products,Manufacturing - General Industrial ,0,7125.0,8. p75_trade_value,9.0
LASR,Computer and Technology,Electronics - Semiconductors,0,,,
LAZ,Finance,Financial - Miscellaneous Services,0,,,
LAZR,Auto-Tires-Trucks,Automotive - Original Equipment,0,38232.0,5. p99_trade_value,4.0
LB,Oils-Energy,Oil and Gas - Integrated - United States,0,,,
LBRT,Oils-Energy,Oil and Gas - Field Services,0,,,
LBTYA,Utilities,Diversified Communication Services,0,,,
LC,Finance,Financial - Miscellaneous Services,0,64850.0,1. p999999_trade_value,1.0
LCID,Auto-Tires-Trucks,Automotive - Domestic,0,,,
LCII,Auto-Tires-Trucks,Automotive - Original Equipment,0,6900.0,8. p75_trade_value,6.0
LDOS,Computer and Technology,Computers - IT Services,0,38440.0,5. p99_trade_value,3.0
LE,Retail-Wholesale,Retail - Catalog Shopping,0,,,
LEA,Auto-Tires-Trucks,Automotive - Original Equipment,0,,,
LECO,Industrial Products,Manufacturing - Tools & Related Products,0,8350.0,8. p75_trade_value,3.0
LEG,Consumer Discretionary,Furniture,0,16873.0,1. p999999_trade_value,1.0
LEGH,Finance,Real Estate - Operations,0,3300.0,1. p999999_trade_value,1.0
LEGN,Medical,Medical - Biomedical and Genetics,0,13000.0,7. p90_trade_value,18.0
LEN,Construction,Building Products - Home Builders,0,,,
LESL,Consumer Staples,Consumer Products - Staples,0,6990.000000000001,8. p75_trade_value,3.0
LEU,Basic Materials,Mining - Non Ferrous,0,65000.0,5. p99_trade_value,24.0
LEVI,Retail-Wholesale,Retail - Apparel and Shoes,0,,,
LFCR,Medical,Medical - Biomedical and Genetics,0,3640.0,1. p999999_trade_value,1.0
LFMD,Medical,Medical Services,0,32475.0,6. p95_trade_value,6.0
LFST,Medical,Medical - Outpatient and Home Healthcare,0,8560.0,8. p75_trade_value,2.0
LFUS,Computer and Technology,Electronics - Miscellaneous Components,0,20400.0,1. p999999_trade_value,1.0
LFVN,Medical,Medical - Dental Supplies,0,,,
LFWD,Computer and Technology,Internet - Software,0,11985.0,1. p999999_trade_value,1.0
LGIH,Finance,Real Estate - Development,0,11850.0,8. p75_trade_value,6.0
LGND,Medical,Medical - Biomedical and Genetics,0,,,
LH,Medical,Medical Services,0,500000.0,1. p999999_trade_value,1.0
LHX,Aerospace,Aerospace - Defense,0,,,
LI,Auto-Tires-Trucks,Automotive - Foreign,0,242200.0,1. p999999_trade_value,1.0
LIF,Industrial Products,Security and Safety Services,0,,,
LII,Construction,Building Products - Air Conditioner and Heating,0,348750.0,1. p999999_trade_value,1.0
LILA,Computer and Technology,Wireless National,0,,,
LIN,Basic Materials,Chemical - Specialty,0,,,
LINC,Consumer Discretionary,Schools,0,,,
LINE,Finance,REIT and Equity Trust - Other,0,6500.0,8. p75_trade_value,8.0
LION,Consumer Discretionary,Media Conglomerates,0,3359.9999999999995,3. p9999_trade_value,1.0
LITE,Computer and Technology,Communication - Components,0,129780.0,5. p99_trade_value,9.0
LITM,Oils-Energy,Alternative Energy - Other,0,,,
LIVN,Medical,Medical - Instruments,0,9975.0,1. p999999_trade_value,1.0
LKQ,Auto-Tires-Trucks,Automotive - Replacement Parts,0,,,
LLY,Medical,Large Cap Pharmaceuticals,0,,,
LLYVA,Utilities,Diversified Communication Services,0,,,
LMAT,Medical,Medical - Products,0,47125.0,1. p999999_trade_value,1.0
LMB,Business Services,Building Products - Maintenance Service,0,12791.999999999998,1. p999999_trade_value,1.0
LMND,Finance,Insurance - Multi line,0,,,
LMNR,Consumer Staples,Agriculture - Operations,0,6900.0,1. p999999_trade_value,1.0
LMT,Aerospace,Aerospace - Defense,0,,,
LNC,Finance,Insurance - Life Insurance,0,,,
LNG,Oils-Energy,Oil and Gas - Exploration and Production - United States,0,902870.0000000001,1. p999999_trade_value,1.0
LNN,Industrial Products,Manufacturing - Farm Equipment,0,11200.0,6. p95_trade_value,2.0
LNSR,Medical,Medical - Instruments,0,,,
LNT,Utilities,Utility - Electric Power,0,37050.0,8. p75_trade_value,3.0
LNTH,Medical,Medical - Products,0,,,
LNW,Consumer Discretionary,Gaming,0,11600.0,7. p90_trade_value,3.0
LNZA,Business Services,Technology Services,0,,,
LOAR,Aerospace,Aerospace - Defense Equipment,0,76960.0,6. p95_trade_value,2.0
LODE,Basic Materials,Mining - Gold,0,,,
LOGC,Retail-Wholesale,Internet - Commerce,0,127000.0,1. p999999_trade_value,1.0
LOGI,Computer and Technology,Computer - Peripheral Equipment,0,226875.0,1. p999999_trade_value,1.0
LOMA,Construction,Building Products - Home Builders,0,8294.999999999998,8. p75_trade_value,2.0
LOPE,Consumer Discretionary,Schools,0,,,
LOVE,Retail-Wholesale,Retail - Home Furnishings,0,,,
LOW,Retail-Wholesale,Retail - Home Furnishings,0,710000.0,1. p999999_trade_value,1.0
LPG,Transportation,Transportation - Shipping,0,7989.999999999999,7. p90_trade_value,3.0
LPLA,Finance,Financial - Investment Bank,0,,,
LPRO,Finance,Financial - Consumer Loans,0,,,
LPSN,Computer and Technology,Internet - Services,0,,,
LPTX,Medical,Medical - Biomedical and Genetics,0,,,
LPX,Construction,Building Products - Wood,0,,,
LQDA,Medical,Medical - Biomedical and Genetics,0,284715.0,1. p999999_trade_value,1.0
LQDT,Business Services,Auction and Valuation Services,0,10850.0,8. p75_trade_value,6.0
LRCX,Computer and Technology,Electronics - Semiconductors,0,159100.0,4. p999_trade_value,14.0
LRMR,Medical,Medical - Drugs,0,,,
LRN,Consumer Discretionary,Schools,0,59500.0,5. p99_trade_value,7.0
LSCC,Computer and Technology,Electronics - Semiconductors,0,994725.0,1. p999999_trade_value,1.0
LSEA,Finance,Real Estate - Development,0,5800.0,1. p999999_trade_value,1.0
LSPD,Computer and Technology,Internet - Software,0,,,
LSTR,Transportation,Transportation - Truck,0,443680.0,1. p999999_trade_value,1.0
LTBR,Oils-Energy,Alternative Energy - Other,0,58941.0,1. p999999_trade_value,1.0
LTH,Consumer Discretionary,Leisure and Recreation Services,0,7425.0,8. p75_trade_value,15.0
LTRX,Computer and Technology,Computer - Networking,0,,,
LU,Finance,Financial - Miscellaneous Services,0,22500.0,1. p999999_trade_value,1.0
LUCK,Consumer Discretionary,Leisure and Recreation Services,0,,,
LULU,Consumer Discretionary,Textile - Apparel,0,,,
LUMN,Utilities,Diversified Communication Services,0,,,
LUNR,Aerospace,Aerospace - Defense,0,,,
LUV,Transportation,Transportation - Airline,0,122256.0,5. p99_trade_value,19.0
LVS,Consumer Discretionary,Gaming,0,604800.0,1. p999999_trade_value,1.0
LVWR,Auto-Tires-Trucks,Automotive - Domestic,0,6964.999999999999,8. p75_trade_value,3.0
LW,Consumer Staples,Food - Miscellaneous,0,,,
LWLG,Basic Materials,Chemical - Plastic,0,3660.0,1. p999999_trade_value,1.0
LX,Finance,Financial - Consumer Loans,0,7500.0,8. p75_trade_value,26.0
LXEO,Medical,Medical - Drugs,0,,,
LXRX,Medical,Medical - Biomedical and Genetics,0,,,
LXU,Basic Materials,Chemical - Diversified ,0,5990.000000000001,1. p999999_trade_value,1.0
LYB,Basic Materials,Chemical - Diversified ,0,62825.0,1. p999999_trade_value,1.0
LYFT,Computer and Technology,Internet - Services,0,184932.0,4. p999_trade_value,4.0
LYV,Consumer Discretionary,Film and Television Production and Distribution,0,,,
LZ,Industrial Products,Industrial Services,0,,,
LZB,Consumer Discretionary,Furniture,0,,,
M,Retail-Wholesale,Retail - Regional Department Stores,0,453050.0,1. p999999_trade_value,1.0
MA,Business Services,Financial Transaction Services,0,432500.0,1. p999999_trade_value,1.0
MAA,Finance,REIT and Equity Trust - Residential,0,5820.0,8. p75_trade_value,5.0
MAC,Finance,REIT and Equity Trust - Retail,0,60000.0,1. p999999_trade_value,1.0
MAG,Basic Materials,Mining - Silver,0,,,
MAGN,Construction,Engineering - R and D Services,0,132000.0,1. p999999_trade_value,1.0
MAIN,Finance,Financial - SBIC & Commercial Industry,0,,,
MAMA,Consumer Staples,Food - Miscellaneous,0,10700.0,1. p999999_trade_value,1.0
MAN,Business Services,Staffing Firms,0,,,
MANH,Computer and Technology,Computer - Software,0,623360.0,1. p999999_trade_value,1.0
MANU,Consumer Discretionary,Leisure and Recreation Services,0,7000.0,1. p999999_trade_value,1.0
MAPS,Business Services,Technology Services,0,,,
MAR,Consumer Discretionary,Hotels and Motels,0,,,
MARA,Finance,Financial - Miscellaneous Services,0,1018470.0000000001,3. p9999_trade_value,5.0
MAS,Construction,Building Products - Miscellaneous,0,,,
MASI,Medical,Medical - Instruments,0,175000.0,5. p99_trade_value,2.0
MASS,Medical,Medical - Instruments,0,,,
MAT,Consumer Discretionary,Toys - Games - Hobbies,0,43616.0,5. p99_trade_value,2.0
MATV,Basic Materials,Chemical - Specialty,0,,,
MATW,Consumer Staples,Funeral Services,0,,,
MATX,Transportation,Transportation - Services,0,544439.0,1. p999999_trade_value,1.0
MAX,Business Services,Technology Services,0,18000.0,1. p999999_trade_value,1.0
MAXN,Oils-Energy,Solar,0,,,
MBC,Consumer Discretionary,Furniture,0,,,
MBI,Finance,Insurance - Multi line,0,,,
MBLY,Auto-Tires-Trucks,Automotive - Original Equipment,0,609960.0,1. p999999_trade_value,1.0
MBOT,Medical,Medical - Instruments,0,7000.0,8. p75_trade_value,2.0
MBUU,Consumer Discretionary,Leisure and Recreation Products,0,,,
MC,Finance,Financial - Investment Bank,0,16000.0,8. p75_trade_value,8.0
MCD,Retail-Wholesale,Retail - Restaurants,0,,,
MCFT,Consumer Discretionary,Leisure and Recreation Products,0,57840.0,1. p999999_trade_value,1.0
MCHP,Computer and Technology,Semiconductor - Analog and Mixed,0,,,
MCK,Medical,Medical - Dental Supplies,0,450000.0,1. p999999_trade_value,1.0
MCO,Finance,Financial - Miscellaneous Services,0,41820.0,5. p99_trade_value,5.0
MCRB,Medical,Medical - Biomedical and Genetics,0,,,
MCRI,Consumer Discretionary,Gaming,0,10143.0,1. p999999_trade_value,1.0
MCS,Consumer Discretionary,Leisure and Recreation Services,0,4000.0,1. p999999_trade_value,1.0
MCW,Auto-Tires-Trucks,Automotive - Replacement Parts,0,,,
MCY,Finance,Insurance - Property and Casualty,0,,,
MDB,Computer and Technology,Internet - Software,0,2745000.0,3. p9999_trade_value,3.0
MDGL,Medical,Medical - Drugs,0,,,
MDLZ,Consumer Staples,Food - Miscellaneous,0,72000.0,1. p999999_trade_value,1.0
MDT,Medical,Medical - Products,0,170800.0,5. p99_trade_value,14.0
MDU,Utilities,Utility - Gas Distribution,0,,,
MDXG,Medical,Medical - Biomedical and Genetics,0,6250.0,1. p999999_trade_value,1.0
MED,Consumer Staples,Food - Miscellaneous,0,9504.0,7. p90_trade_value,2.0
MEDP,Medical,Medical Services,0,540000.0,1. p999999_trade_value,1.0
MEG,Business Services,Waste Removal Services,0,,,
MEI,Computer and Technology,Electronics - Connectors,0,23500.0,1. p999999_trade_value,1.0
MELI,Retail-Wholesale,Internet - Commerce,0,792500.0,3. p9999_trade_value,3.0
MEOH,Basic Materials,Chemical - Diversified ,0,15000.0,1. p999999_trade_value,1.0
MERC,Basic Materials,Paper and Related Products,0,,,
MESO,Medical,Medical - Biomedical and Genetics,0,,,
MET,Finance,Insurance - Multi line,0,,,
META,Computer and Technology,Internet - Software,0,1179750.0,3. p9999_trade_value,66.0
METC,Oils-Energy,Coal,0,,,
MFC,Finance,Insurance - Life Insurance,0,,,
MG,Computer and Technology,Electronics - Miscellaneous Products,0,,,
MGA,Auto-Tires-Trucks,Automotive - Original Equipment,0,,,
MGIC,Computer and Technology,Computer - Software,0,,,
MGM,Consumer Discretionary,Gaming,0,525000.0,4. p999_trade_value,2.0
MGNI,Computer and Technology,Internet - Software,0,,,
MGNX,Medical,Medical - Products,0,7000.0,1. p999999_trade_value,1.0
MGPI,Consumer Staples,Beverages - Alcohol,0,20910.0,8. p75_trade_value,3.0
MGTX,Medical,Medical - Biomedical and Genetics,0,,,
MGY,Oils-Energy,Oil and Gas - Exploration and Production - United States,0,19300.0,1. p999999_trade_value,1.0
MHK,Consumer Discretionary,Textile - Home Furnishing,0,,,
MHO,Construction,Building Products - Home Builders,0,12900.0,6. p95_trade_value,5.0
MIDD,Industrial Products,Manufacturing - General Industrial ,0,79360.0,1. p999999_trade_value,1.0
MIR,Business Services,Technology Services,0,,,
MIRM,Medical,Medical - Biomedical and Genetics,0,59359.99999999999,1. p999999_trade_value,1.0
MIST,Medical,Medical - Biomedical and Genetics,0,,,
MITK,Computer and Technology,Computer - Optical Imaging,0,14954.999999999998,1. p999999_trade_value,1.0
MKC,Consumer Staples,Food - Miscellaneous,0,312500.0,1. p999999_trade_value,1.0
MKL,Conglomerates,Diversified Operations,0,9000.0,7. p90_trade_value,15.0
MKSI,Computer and Technology,Electronics - Miscellaneous Products,0,48345.00000000001,6. p95_trade_value,4.0
MKTW,Business Services,Technology Services,0,,,
MKTX,Finance,Financial - Investment Bank,0,,,
MLCO,Consumer Discretionary,Gaming,0,30000.0,7. p90_trade_value,7.0
MLGO,Business Services,Technology Services,0,18000.0,5. p99_trade_value,2.0
MLI,Industrial Products,Metal Products - Procurement and Fabrication,0,,,
MLKN,Consumer Discretionary,Furniture,0,18000.0,8. p75_trade_value,4.0
MLM,Construction,Building Products - Concrete and Aggregates,0,80359.99999999999,1. p999999_trade_value,1.0
MLR,Auto-Tires-Trucks,Automotive - Original Equipment,0,,,
MLTX,Medical,Medical - Biomedical and Genetics,0,23625.000000000004,1. p999999_trade_value,1.0
MLYS,Medical,Medical - Biomedical and Genetics,0,,,
MMC,Finance,Insurance - Brokerage,0,15119.999999999998,6. p95_trade_value,6.0
MMI,Finance,Real Estate - Development,0,4500.0,1. p999999_trade_value,1.0
MMM,Conglomerates,Diversified Operations,0,,,
MMS,Business Services,Government Services,0,11160.0,8. p75_trade_value,10.0
MMSI,Medical,Medical - Dental Supplies,0,,,
MMYT,Computer and Technology,Internet - Delivery Services,0,,,
MNDY,Computer and Technology,Internet - Software,0,,,
MNKD,Medical,Medical - Biomedical and Genetics,0,54304.0,7. p90_trade_value,2.0
MNMD,Medical,Medical - Biomedical and Genetics,0,48330.0,1. p999999_trade_value,1.0
MNSO,Retail-Wholesale,Retail - Apparel and Shoes,0,73760.0,1. p999999_trade_value,1.0
MNST,Consumer Staples,Beverages - Soft drinks,0,715000.0,1. p999999_trade_value,1.0
MO,Consumer Staples,Tobacco,0,360000.0,4. p999_trade_value,2.0
MOD,Auto-Tires-Trucks,Automotive - Original Equipment,0,198975.0,5. p99_trade_value,10.0
MODG,Consumer Discretionary,Leisure and Recreation Products,0,12780.0,1. p999999_trade_value,1.0
MODV,Medical,Medical Services,0,,,
MOGO,Business Services,Technology Services,0,,,
MOH,Medical,Medical - HMOs,0,728640.0,1. p999999_trade_value,1.0
MOMO,Computer and Technology,Internet - Software,0,,,
MORN,Business Services,Business - Information Services,0,,,
MOS,Basic Materials,Fertilizers,0,19092.0,6. p95_trade_value,23.0
MP,Basic Materials,Mining - Miscellaneous,0,427760.00000000006,1. p999999_trade_value,1.0
MPAA,Auto-Tires-Trucks,Automotive - Replacement Parts,0,7000.0,8. p75_trade_value,2.0
MPC,Oils-Energy,Oil and Gas - Refining and Marketing,0,,,
MPLX,Oils-Energy,Oil and Gas - Production and Pipelines,0,,,
MPW,Finance,REIT and Equity Trust - Other,0,,,
MPWR,Computer and Technology,Semiconductor - Analog and Mixed,0,380000.0,1. p999999_trade_value,1.0
MQ,Business Services,Financial Transaction Services,0,282000.0,1. p999999_trade_value,1.0
MRC,Industrial Products,Steel - Pipe and Tube,0,11519.999999999998,1. p999999_trade_value,1.0
MRCY,Aerospace,Aerospace - Defense Equipment,0,22440.0,8. p75_trade_value,5.0
MREO,Medical,Medical - Biomedical and Genetics,0,,,
MRK,Medical,Large Cap Pharmaceuticals,0,1547800.0,4. p999_trade_value,6.0
MRNA,Medical,Medical - Biomedical and Genetics,0,,,
MRP,Finance,Real Estate - Operations,0,23380.0,8. p75_trade_value,2.0
MRSN,Medical,Medical - Biomedical and Genetics,0,,,
MRTN,Transportation,Transportation - Truck,0,3660.0,1. p999999_trade_value,2.0
MRUS,Medical,Medical - Biomedical and Genetics,0,712535.0,5. p99_trade_value,2.0
MRVI,Medical,Medical - Products,0,,,
MRVL,Computer and Technology,Electronics - Semiconductors,0,,,
MRX,Finance,Financial - Miscellaneous Services,0,,,
MS,Finance,Financial - Investment Bank,0,273000.0,4. p999_trade_value,6.0
MSCI,Finance,Financial - Investment Management,0,,,
MSFT,Computer and Technology,Computer - Software,0,,,
MSGE,Consumer Discretionary,Media Conglomerates,0,3300.0,1. p999999_trade_value,1.0
MSGS,Consumer Discretionary,Leisure and Recreation Services,0,22656.0,1. p999999_trade_value,1.0
MSI,Computer and Technology,Wireless Equipment,0,49600.0,5. p99_trade_value,3.0
MSM,Industrial Products,Industrial Services,0,462500.0,5. p99_trade_value,2.0
MSTR,Computer and Technology,Computer - Software,0,,,
MT,Basic Materials,Steel - Producers,0,,,
MTB,Finance,Banks - Major Regional,0,35100.0,6. p95_trade_value,7.0
MTCH,Computer and Technology,Internet - Software,0,422770.0,4. p999_trade_value,2.0
MTD,Medical,Medical - Instruments,0,5880.0,8. p75_trade_value,41.0
MTDR,Oils-Energy,Oil and Gas - Exploration and Production - United States,0,42330.0,5. p99_trade_value,3.0
MTG,Finance,Insurance - Multi line,0,10980.0,1. p999999_trade_value,1.0
MTH,Construction,Building Products - Home Builders,0,,,
MTLS,Computer and Technology,Internet - Software,0,,,
MTN,Consumer Discretionary,Leisure and Recreation Services,0,75659.99999999999,5. p99_trade_value,7.0
MTSI,Computer and Technology,Semiconductor - Analog and Mixed,0,451248.00000000006,1. p999999_trade_value,1.0
MTSR,Medical,Medical - Biomedical and Genetics,0,,,
MTW,Industrial Products,Manufacturing - Construction and Mining,0,6480.0,8. p75_trade_value,2.0
MTZ,Construction,Building Products - Heavy Construction,0,,,
MU,Computer and Technology,Computer - Integrated Systems,0,,,
MUR,Oils-Energy,Oil and Gas - Exploration and Production - United States,0,,,
MURA,Medical,Medical - Drugs,0,18500.0,8. p75_trade_value,2.0
MUSA,Retail-Wholesale,Retail - Convenience Stores,0,,,
MUX,Basic Materials,Mining - Miscellaneous,0,16500.0,1. p999999_trade_value,1.0
MVIS,Computer and Technology,Lasers Systems and Components,0,,,
MVST,Business Services,Technology Services,0,,,
MWA,Industrial Products,Steel - Pipe and Tube,0,8400.0,1. p999999_trade_value,1.0
MXL,Computer and Technology,Semiconductor - Analog and Mixed,0,,,
MYGN,Medical,Medical - Biomedical and Genetics,0,21280.0,6. p95_trade_value,2.0
MYO,Medical,Medical - Products,0,,,
MYRG,Utilities,Electric Construction,0,,,
NA,Computer and Technology,Electronics - Semiconductors,0,5000.0,1. p999999_trade_value,1.0
NAGE,Medical,Medical - Biomedical and Genetics,0,4725.0,8. p75_trade_value,2.0
NAK,Basic Materials,Mining - Gold,0,,,
NAMS,Medical,Medical - Drugs,0,,,
NAT,Transportation,Transportation - Shipping,0,,,
NATL,Computer and Technology,Internet - Software,0,11000.000000000002,1. p999999_trade_value,1.0
NAVI,Finance,Financial - Consumer Loans,0,,,
NB,Basic Materials,Mining - Miscellaneous,0,,,
NBIS,Computer and Technology,Internet - Software and Services,0,,,
NBIX,Medical,Medical - Drugs,0,,,
NBR,Oils-Energy,Oil and Gas - Drilling,0,201600.0,1. p999999_trade_value,1.0
NBTB,Finance,Banks - Northeast,0,,,
NCLH,Consumer Discretionary,Leisure and Recreation Services,0,440000.0,4. p999_trade_value,2.0
NCNO,Computer and Technology,Internet - Software,0,,,
NDAQ,Finance,Securities and Exchanges,0,288000.0,1. p999999_trade_value,1.0
NDSN,Industrial Products,Manufacturing - General Industrial ,0,154030.0,1. p999999_trade_value,1.0
NE,Oils-Energy,Oil and Gas - Drilling,0,30000.0,1. p999999_trade_value,1.0
NEE,Utilities,Utility - Electric Power,0,,,
NEGG,Retail-Wholesale,Internet - Commerce,0,,,
NEM,Basic Materials,Mining - Gold,0,,,
NEO,Medical,Medical - Biomedical and Genetics,0,,,
NEOG,Medical,Medical - Products,0,3900.0,8. p75_trade_value,2.0
NEON,Computer and Technology,Computer - Software,0,,,
NET,Computer and Technology,Internet - Software,0,488565.00000000006,4. p999_trade_value,9.0
NEU,Basic Materials,Chemical - Specialty,0,3400.0,1. p999999_trade_value,1.0
NEXN,Business Services,Advertising and Marketing,0,3750.0,1. p999999_trade_value,1.0
NEXT,Oils-Energy,Oil and Gas - Production Pipeline - MLB,0,290485.0,1. p999999_trade_value,1.0
NFE,Oils-Energy,Oil and Gas - Integrated - International,0,450000.0,1. p999999_trade_value,1.0
NFLX,Consumer Discretionary,Broadcast Radio and Television,0,,,
NG,Basic Materials,Mining - Gold,0,,,
NGD,Basic Materials,Mining - Gold,0,38445.0,1. p999999_trade_value,1.0
NGG,Utilities,Utility - Electric Power,0,13339.999999999998,1. p999999_trade_value,1.0
NGL,Oils-Energy,Oil and Gas - Refining and Marketing - Master Limited Partnerships,0,,,
NGNE,Medical,Medical - Biomedical and Genetics,0,6290.000000000001,8. p75_trade_value,25.0
NGS,Oils-Energy,Oil and Gas - Mechanical and and Equipment,0,,,
NGVC,Retail-Wholesale,Food - Natural Foods Products,0,6840.000000000001,8. p75_trade_value,3.0
NGVT,Basic Materials,Chemical - Specialty,0,,,
NI,Utilities,Utility - Electric Power,0,15225.0,1. p999999_trade_value,1.0
NICE,Computer and Technology,Internet - Software,0,,,
NINE,Oils-Energy,Oil and Gas - Field Services,0,,,
NIO,Auto-Tires-Trucks,Automotive - Foreign,0,,,
NIU,Auto-Tires-Trucks,Automotive - Original Equipment,0,,,
NKE,Consumer Discretionary,Shoes and Retail Apparel ,0,,,
NKTR,Medical,Medical - Drugs,0,,,
NKTX,Medical,Medical - Biomedical and Genetics,0,,,
NLOP,Finance,REIT and Equity Trust - Other,0,3685.0,1. p999999_trade_value,1.0
NLY,Finance,REIT and Equity Trust,0,31500.0,1. p999999_trade_value,1.0
NMAX,Consumer Discretionary,Broadcast Radio and Television,0,,,
NMM,Transportation,Transportation - Shipping,0,33750.0,5. p99_trade_value,2.0
NMRA,Medical,Medical - Biomedical and Genetics,0,162000.0,5. p99_trade_value,10.0
NN,Business Services,Technology Services,0,,,
NNBR,Industrial Products,Metal Products - Procurement and Fabrication,0,,,
NNDM,Computer and Technology,Nanotechnology,0,,,
NNE,Oils-Energy,Alternative Energy - Other,0,,,
NNOX,Business Services,Technology Services,0,,,
NNVC,Medical,Medical - Drugs,0,,,
NOA,Oils-Energy,Oil and Gas - Mechanical and and Equipment,0,7000.0,1. p999999_trade_value,1.0
NOAH,Finance,Financial - Investment Management,0,,,
NOC,Aerospace,Aerospace - Defense,0,231040.0,1. p999999_trade_value,1.0
NOG,Oils-Energy,Oil and Gas - Exploration and Production - United States,0,16500.0,1. p999999_trade_value,1.0
NOK,Computer and Technology,Wireless Equipment,0,57419.99999999999,1. p999999_trade_value,1.0
NOTE,Business Services,Technology Services,0,12000.0,1. p999999_trade_value,1.0
NOTV,Medical,Medical - Drugs,0,,,
NOV,Oils-Energy,Oil and Gas - Mechanical and and Equipment,0,87071.99999999999,1. p999999_trade_value,1.0
NOVT,Computer and Technology,Electronics - Miscellaneous Components,0,20000.0,8. p75_trade_value,4.0
NOW,Computer and Technology,Computers - IT Services,0,,,
NPCE,Medical,Medical - Instruments,0,,,
NPO,Business Services,Technology Services,0,,,
NPWR,Oils-Energy,Alternative Energy - Other,0,12480.000000000002,6. p95_trade_value,2.0
NRDS,Finance,Financial - Miscellaneous Services,0,,,
NRDY,Consumer Discretionary,Schools,0,,,
NRG,Utilities,Utility - Electric Power,0,225000.0,4. p999_trade_value,2.0
NRIX,Medical,Medical - Biomedical and Genetics,0,,,
NRP,Oils-Energy,Coal,0,27000.0,8. p75_trade_value,3.0
NRXP,Medical,Medical - Drugs,0,11519.999999999998,1. p999999_trade_value,1.0
NSA,Finance,REIT and Equity Trust - Other,0,10000.0,1. p999999_trade_value,1.0
NSC,Transportation,Transportation - Rail,0,363599.99999999994,1. p999999_trade_value,1.0
NSIT,Retail-Wholesale,Retail - Mail Order,0,,,
NSP,Business Services,Staffing Firms,0,80000.0,7. p90_trade_value,2.0
NSSC,Industrial Products,Security and Safety Services,0,,,
NTAP,Computer and Technology,Computer- Storage Devices,0,292500.0,1. p999999_trade_value,1.0
NTES,Computer and Technology,Internet - Software and Services,0,226500.0,1. p999999_trade_value,1.0
NTGR,Computer and Technology,Computer - Networking,0,,,
NTLA,Medical,Medical - Biomedical and Genetics,0,,,
NTNX,Computer and Technology,Computers - IT Services,0,,,
NTR,Basic Materials,Fertilizers,0,,,
NTRA,Medical,Medical Services,0,,,
NTRS,Finance,Banks - Major Regional,0,21000.0,6. p95_trade_value,13.0
NU,Finance,Banks - Foreign,0,347999.99999999994,4. p999_trade_value,3.0
NUE,Basic Materials,Steel - Producers,0,539000.0,4. p999_trade_value,3.0
NUVB,Medical,Medical - Biomedical and Genetics,0,3500.0,1. p999999_trade_value,1.0
NUVL,Medical,Medical - Biomedical and Genetics,0,,,
NVAX,Medical,Medical - Biomedical and Genetics,0,,,
NVCR,Medical,Medical - Biomedical and Genetics,0,,,
NVCT,Medical,Medical - Biomedical and Genetics,0,6500.0,1. p999999_trade_value,1.0
NVDA,Computer and Technology,Semiconductor - General,0,,,
NVEE,Business Services,Technology Services,0,18000.0,1. p999999_trade_value,1.0
NVGS,Transportation,Transportation - Shipping,0,,,
NVMI,Computer and Technology,Electronics - Semiconductors,0,30000.0,6. p95_trade_value,12.0
NVO,Medical,Large Cap Pharmaceuticals,0,1622400.0,3. p9999_trade_value,2.0
NVRI,Business Services,Waste Removal Services,0,4410.0,1. p999999_trade_value,1.0
NVS,Medical,Large Cap Pharmaceuticals,0,,,
NVST,Medical,Medical - Products,0,,,
NVT,Computer and Technology,Electronics - Miscellaneous Components,0,,,
NVTS,Computer and Technology,Electronics - Semiconductors,0,17930.0,6. p95_trade_value,41.0
NWG,Finance,Banks - Foreign,0,,,
NWL,Consumer Staples,Consumer Products - Staples,0,140000.0,1. p999999_trade_value,1.0
NWN,Utilities,Utility - Gas Distribution,0,8000.0,1. p999999_trade_value,1.0
NWSA,Consumer Discretionary,Film and Television Production and Distribution,0,10600.0,8. p75_trade_value,2.0
NX,Construction,Building Products - Miscellaneous,0,,,
NXE,Basic Materials,Mining - Miscellaneous,0,860000.0,1. p999999_trade_value,1.0
NXPI,Computer and Technology,Semiconductor - Analog and Mixed,0,,,
NXST,Consumer Discretionary,Media Conglomerates,0,60259.99999999999,5. p99_trade_value,2.0
NXT,Oils-Energy,Solar,0,,,
NYT,Consumer Staples,Publishing - Newspapers,0,,,
O,Finance,REIT and Equity Trust - Retail,0,210300.0,1. p999999_trade_value,1.0
OC,Construction,Building Products - Miscellaneous,0,119130.0,5. p99_trade_value,2.0
OCFT,Business Services,Technology Services,0,,,
OCGN,Medical,Medical - Biomedical and Genetics,0,,,
OCUL,Medical,Medical - Drugs,0,47150.0,1. p999999_trade_value,1.0
ODD,Computer and Technology,Internet - Software,0,47310.0,5. p99_trade_value,2.0
ODFL,Transportation,Transportation - Truck,0,400000.0,1. p999999_trade_value,1.0
ODP,Retail-Wholesale,Retail - Miscellaneous,0,47250.00000000001,8. p75_trade_value,4.0
ODV,Basic Materials,Mining - Gold,0,4000.0,1. p999999_trade_value,1.0
OFIX,Medical,Medical - Instruments,0,,,
