security,sector,industry,final_cluster,trade_volume_bin,trade_volume_bin_rank,cluster,trade_value_category,category_minimum,category_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,min_trade_value,expiration_days_out,otm_range,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,number_of_bins,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
EBC,Finance,Banks - Northeast,10__0,10,3,0.0,8. p75_trade_value,5500.000000000001,11200.000000000002,O:EBC250321P00017500,EBC,P,17.5,2025-03-21,209,0,320,0.55,1740166729686000000,100,5500.000000000001,2025-02-21,3000.0,30,True,Automatic Execution,Finance,Banks - Northeast,18.36,18.48,17.64,17.74,4,3.740362689494244,20,4,1,1,1,0
EFSC,Finance,Banks - Midwest,0__2,0,3,2.0,1. p999999_trade_value,4500.0,4500.0,O:EFSC241115C00055000,EFSC,C,55.0,2024-11-15,209,0,315,1.0,1729608026521000000,45,4500.0,2024-10-22,3000.0,30,True,Automatic Execution,Finance,Banks - Midwest,53.25,53.465,52.12,52.98,1,3.6532125137753435,20,1,1,1,1,0
EWBC,Finance,Banks - West,15__0,15,3,0.0,7. p90_trade_value,27000.0,27000.0,O:EWBC241115C00105000,EWBC,C,105.0,2024-11-15,235,0,300,1.35,1730300943779000000,200,27000.0,2024-10-30,3000.0,30,True,Multi Leg floor trade,Finance,Banks - West,98.18,101.31,98.1,98.83,3,4.431363764158987,20,2,1,1,0,0
EWBC,Finance,Banks - West,15__0,15,3,0.0,7. p90_trade_value,27000.0,27000.0,O:EWBC241115C00105000,EWBC,C,105.0,2024-11-15,235,0,300,1.35,1730300753397000000,200,27000.0,2024-10-30,3000.0,30,True,Multi Leg floor trade,Finance,Banks - West,98.18,101.31,98.1,98.83,4,4.431363764158987,20,2,1,1,0,0
EWBC,Finance,Banks - West,15__0,15,3,0.0,1. p999999_trade_value,54060.0,54060.0,O:EWBC250417P00075000,EWBC,P,75.0,2025-04-17,239,0,302,1.7,1743707695548000000,318,54060.0,2025-04-03,3000.0,30,True,Multi Leg floor trade against single leg(s),Finance,Banks - West,93.24,93.24,77.79,77.92,1,4.732876041362706,20,1,1,0,0,0
EWBC,Finance,Banks - West,15__0,15,3,0.0,6. p95_trade_value,44400.0,44400.0,O:EWBC250516C00080000,EWBC,C,80.0,2025-05-16,209,0,313,3.0,1744909782379000000,148,44400.0,2025-04-17,3000.0,30,True,Automatic Execution,Finance,Banks - West,76.12,78.22,75.96,77.43,2,4.64738297011462,20,1,1,1,1,0
FBK,Finance,Banks - Northeast,0__2,0,3,2.0,1. p999999_trade_value,6500.0,6500.0,O:FBK250117P00050000,FBK,P,50.0,2025-01-17,209,0,320,1.3,1734622611247000000,50,6500.0,2024-12-19,3000.0,30,True,Automatic Execution,Finance,Banks - Northeast,52.39,53.01,50.83,51.04,1,3.8129133566428557,20,1,1,0,0,0
HDB,Finance,Banks - Foreign,15__0,15,3,0.0,1. p999999_trade_value,240000.0,240000.0,O:HDB250321C00060000,HDB,C,60.0,2025-03-21,235,0,313,1.2,1740413966178000000,2000,240000.0,2025-02-24,3000.0,30,True,Multi Leg floor trade,Finance,Banks - Foreign,59.74,59.82,59.25,59.66,1,5.380211241711606,20,1,1,1,1,0
ITUB,Finance,Banks - Foreign,10__0,10,3,0.0,8. p75_trade_value,7030.0,7030.0,O:ITUB250221C00006000,ITUB,C,6.0,2025-02-21,219,0,313,0.1,1738940476305000000,703,7030.0,2025-02-07,3000.0,30,True,Intermarket Sweep Order,Finance,Banks - Foreign,5.92,5.98,5.805,5.85,2,3.846955325019824,20,2,1,0,0,0
ITUB,Finance,Banks - Foreign,10__0,10,3,0.0,1. p999999_trade_value,25000.0,25000.0,O:ITUB250221C00006000,ITUB,C,6.0,2025-02-21,235,0,313,0.05,1739198295868000000,5000,25000.0,2025-02-10,3000.0,30,True,Multi Leg floor trade,Finance,Banks - Foreign,5.9,5.96,5.89,5.93,1,4.3979400086720375,20,1,1,0,0,0
KB,Finance,Banks - Foreign,5__0,5,3,0.0,4. p999_trade_value,3444.9999999999995,3444.9999999999995,O:KB250620C00080000,KB,C,80.0,2025-06-20,209,0,325,2.65,1749130232114000000,13,3444.9999999999995,2025-06-05,3000.0,30,True,Automatic Execution,Finance,Banks - Foreign,79.24,79.39,77.49,78.05,1,3.5371892262436444,20,1,1,0,0,0
